# beta0 abs_s_eff
0.000000000000000000e+00 3.750000000000000000e-01
7.499999999999999722e-03 3.768003657442492438e-01
1.499999999999999944e-02 3.784528537347816024e-01
2.249999999999999917e-02 3.799593933896094344e-01
2.999999999999999889e-02 3.813217145665848129e-01
3.749999999999999861e-02 3.825413580581843997e-01
4.499999999999999833e-02 3.836196847139103916e-01
5.249999999999999806e-02 3.845578833218739057e-01
5.999999999999999778e-02 3.853569773599538895e-01
6.750000000000000444e-02 3.860178307086344351e-01
7.499999999999999722e-02 3.865411524016556521e-01
8.249999999999999001e-02 3.869275004765104775e-01
8.999999999999999667e-02 3.871772849742092237e-01
9.750000000000000333e-02 3.872907701262708891e-01
1.049999999999999961e-01 3.872680757563163878e-01
1.124999999999999889e-01 3.871091779136733302e-01
1.199999999999999956e-01 3.868139087468288606e-01
1.275000000000000022e-01 3.863819556151658619e-01
1.350000000000000089e-01 3.858128594279874313e-01
1.424999999999999878e-01 3.851060121901500599e-01
1.499999999999999944e-01 3.842606537234849462e-01
1.575000000000000011e-01 3.832758675223369438e-01
1.649999999999999800e-01 3.821505756897404238e-01
1.724999999999999867e-01 3.808835328876794546e-01
1.799999999999999933e-01 3.794733192202054961e-01
1.875000000000000000e-01 3.779183319514944905e-01
1.950000000000000067e-01 3.762167759417434643e-01
2.024999999999999856e-01 3.743666526615317958e-01
2.099999999999999922e-01 3.723657476191922777e-01
2.174999999999999989e-01 3.702116160049546689e-01
2.249999999999999778e-01 3.679015663190359775e-01
2.324999999999999845e-01 3.654326417070593025e-01
2.399999999999999911e-01 3.628015986734346998e-01
2.474999999999999978e-01 3.600048827793867479e-01
2.550000000000000044e-01 3.570386008543053324e-01
2.625000000000000111e-01 3.538984891533163979e-01
2.700000000000000178e-01 3.505798767756073131e-01
2.774999999999999689e-01 3.470776435107855717e-01
2.849999999999999756e-01 3.433861710960416369e-01
2.924999999999999822e-01 3.394992866340075244e-01
2.999999999999999889e-01 3.354101966249684597e-01
3.074999999999999956e-01 3.311114096871323742e-01
3.150000000000000022e-01 3.265946455470450371e-01
3.225000000000000089e-01 3.218507272401291419e-01
3.299999999999999600e-01 3.168694526141642154e-01
3.374999999999999667e-01 3.116394400986499114e-01
3.449999999999999734e-01 3.061479421782873911e-01
3.524999999999999800e-01 3.003806179249919883e-01
3.599999999999999867e-01 2.943212530552287154e-01
3.674999999999999933e-01 2.879514119170107356e-01
3.750000000000000000e-01 2.812500000000000000e-01
3.825000000000000067e-01 2.741927070966695412e-01
3.900000000000000133e-01 2.667512886566811292e-01
3.974999999999999645e-01 2.588926237361737770e-01
4.049999999999999711e-01 2.505774580843217469e-01
4.124999999999999778e-01 2.417586929667681073e-01
4.199999999999999845e-01 2.323790007724450546e-01
4.274999999999999911e-01 2.223674113376328809e-01
4.349999999999999978e-01 2.116342658928369314e-01
4.425000000000000044e-01 2.000634664925107220e-01
4.499999999999999556e-01 1.875000000000000833e-01
4.574999999999999623e-01 1.737286407734776328e-01
4.649999999999999689e-01 1.584347263070819967e-01
4.724999999999999756e-01 1.411241142576277752e-01
4.799999999999999822e-01 1.209338662244782425e-01
4.874999999999999889e-01 9.606516343087131982e-02
4.949999999999999956e-01 6.104557723537414743e-02
5.024999999999999467e-01 4.336887564832563741e-02
5.100000000000000089e-01 8.714212528966726323e-02
5.174999999999999600e-01 1.158106617501166169e-01
5.250000000000000222e-01 1.390537216330437198e-01
5.324999999999999734e-01 1.592646676918643700e-01
5.400000000000000355e-01 1.774823934929885549e-01
5.474999999999999867e-01 1.942684595476064646e-01
5.549999999999999378e-01 2.099665151875412805e-01
5.625000000000000000e-01 2.248046026552837362e-01
5.699999999999999512e-01 2.389429848311098725e-01
5.775000000000000133e-01 2.524992264839636125e-01
5.849999999999999645e-01 2.655624926453281076e-01
5.925000000000000266e-01 2.782022364665675540e-01
5.999999999999999778e-01 2.904737509655562211e-01
