# beta0 positive_central_peak_window_spectral_weight
0.000000000000000000e+00 8.455607567646499650e-03
7.499999999999999722e-03 8.857233537921130329e-03
1.499999999999999944e-02 9.969591353816973853e-03
2.249999999999999917e-02 1.178823152880065228e-02
2.999999999999999889e-02 1.429799163862519214e-02
3.749999999999999861e-02 1.747340213439900827e-02
4.499999999999999833e-02 2.128496041850652318e-02
5.249999999999999806e-02 2.570626154990100776e-02
5.999999999999999778e-02 3.069883973466884866e-02
6.750000000000000444e-02 3.618827255532808956e-02
7.499999999999999722e-02 4.211158698432893033e-02
8.249999999999999001e-02 4.847206094667098897e-02
8.999999999999999667e-02 5.521705171675168194e-02
9.750000000000000333e-02 6.218712820761115867e-02
1.049999999999999961e-01 6.943414669231268155e-02
1.124999999999999889e-01 7.692862106843526004e-02
1.199999999999999956e-01 8.442288114842978752e-02
1.275000000000000022e-01 9.226948158032904912e-02
1.350000000000000089e-01 9.999028892848012273e-02
1.424999999999999878e-01 1.077811420214945803e-01
1.499999999999999944e-01 1.157291239761075730e-01
1.575000000000000011e-01 1.233338388677054920e-01
1.649999999999999800e-01 1.311622531785630319e-01
1.724999999999999867e-01 1.390042697274378736e-01
1.799999999999999933e-01 1.455237578041641000e-01
1.875000000000000000e-01 1.559393435939529504e-01
1.950000000000000067e-01 1.585712674925989774e-01
2.024999999999999856e-01 1.608707798787850640e-01
2.099999999999999922e-01 1.697631431721337014e-01
2.174999999999999989e-01 1.746287271652461615e-01
2.249999999999999778e-01 1.787974430885230226e-01
2.324999999999999845e-01 1.844608866182266549e-01
2.399999999999999911e-01 1.842058605164984264e-01
2.474999999999999978e-01 1.926468306933788177e-01
2.550000000000000044e-01 1.969110266431162992e-01
2.625000000000000111e-01 1.979585108688768635e-01
2.700000000000000178e-01 2.010073538900764289e-01
2.774999999999999689e-01 2.041802565202412156e-01
2.849999999999999756e-01 2.013804220349501573e-01
2.924999999999999822e-01 2.020583447784450037e-01
2.999999999999999889e-01 1.983277917438808768e-01
3.074999999999999956e-01 1.903232486636515230e-01
3.150000000000000022e-01 1.779632243441717498e-01
3.225000000000000089e-01 1.607275338337766368e-01
3.299999999999999600e-01 1.481319988287332357e-01
3.374999999999999667e-01 1.371169204092032856e-01
3.449999999999999734e-01 1.298254914395925719e-01
3.524999999999999800e-01 1.237349287532654302e-01
3.599999999999999867e-01 1.204153366686826904e-01
3.674999999999999933e-01 1.154619566558520716e-01
3.750000000000000000e-01 1.119184657599212596e-01
3.825000000000000067e-01 1.071862065812327763e-01
3.900000000000000133e-01 1.011386632249207246e-01
3.974999999999999645e-01 9.343258202039525506e-02
4.049999999999999711e-01 8.246315116479055463e-02
4.124999999999999778e-01 7.023561915295381541e-02
4.199999999999999845e-01 5.914900834433517440e-02
4.274999999999999911e-01 5.133212332124471866e-02
4.349999999999999978e-01 4.582975929841941187e-02
4.425000000000000044e-01 4.171068099945254154e-02
4.499999999999999556e-01 3.846238130597012805e-02
4.574999999999999623e-01 3.568887665550612986e-02
4.649999999999999689e-01 3.337935856367743592e-02
4.724999999999999756e-01 3.128823432248745845e-02
4.799999999999999822e-01 2.946343514309732528e-02
4.874999999999999889e-01 2.783961310651454288e-02
4.949999999999999956e-01 2.630088995531096319e-02
5.024999999999999467e-01 2.492175957717825477e-02
5.100000000000000089e-01 2.354885847311193395e-02
5.174999999999999600e-01 2.224487261592806783e-02
5.250000000000000222e-01 2.092807978912773412e-02
5.324999999999999734e-01 1.954202561836713287e-02
5.400000000000000355e-01 1.819789227442071208e-02
5.474999999999999867e-01 1.675727454223286533e-02
5.549999999999999378e-01 1.536237455717843342e-02
5.625000000000000000e-01 1.385512691278674435e-02
5.699999999999999512e-01 1.229543515139169818e-02
5.775000000000000133e-01 1.081869811688745790e-02
5.849999999999999645e-01 9.589071153142458143e-03
5.925000000000000266e-01 8.701535043066038408e-03
5.999999999999999778e-01 8.073043338175937139e-03
