# beta0 positive_FSR_window_spectral_weight
0.000000000000000000e+00 1.857787313273824958e+00
7.499999999999999722e-03 1.856367599942619462e+00
1.499999999999999944e-02 1.852933726472414833e+00
2.249999999999999917e-02 1.847408794990073266e+00
2.999999999999999889e-02 1.841060736156444611e+00
3.749999999999999861e-02 1.835192853527101819e+00
4.499999999999999833e-02 1.830163888641632708e+00
5.249999999999999806e-02 1.825436028037358493e+00
5.999999999999999778e-02 1.820353745822954172e+00
6.750000000000000444e-02 1.814105616200801796e+00
7.499999999999999722e-02 1.805147679586662335e+00
8.249999999999999001e-02 1.793949610439593112e+00
8.999999999999999667e-02 1.785411525339829053e+00
9.750000000000000333e-02 1.779525626947690453e+00
1.049999999999999961e-01 1.767999638207183866e+00
1.124999999999999889e-01 1.754943054948101544e+00
1.199999999999999956e-01 1.741539388182185011e+00
1.275000000000000022e-01 1.724937074574500073e+00
1.350000000000000089e-01 1.712968224187167099e+00
1.424999999999999878e-01 1.694996738498527833e+00
1.499999999999999944e-01 1.677370898424878298e+00
1.575000000000000011e-01 1.652536563342467346e+00
1.649999999999999800e-01 1.627814228346965653e+00
1.724999999999999867e-01 1.600791044448080624e+00
1.799999999999999933e-01 1.568766652285672913e+00
1.875000000000000000e-01 1.533938942946628137e+00
1.950000000000000067e-01 1.490050675060367036e+00
2.024999999999999856e-01 1.442298999873927290e+00
2.099999999999999922e-01 1.395539293097609823e+00
2.174999999999999989e-01 1.346973299516495137e+00
2.249999999999999778e-01 1.297302433662034460e+00
2.324999999999999845e-01 1.249460277238373385e+00
2.399999999999999911e-01 1.203574341245215562e+00
2.474999999999999978e-01 1.159590976707210785e+00
2.550000000000000044e-01 1.119413046225289587e+00
2.625000000000000111e-01 1.084689231666434939e+00
2.700000000000000178e-01 1.055844849903202931e+00
2.774999999999999689e-01 1.031146558418240655e+00
2.849999999999999756e-01 1.009880751856941039e+00
2.924999999999999822e-01 9.910013808429710691e-01
2.999999999999999889e-01 9.743655558785688786e-01
3.074999999999999956e-01 9.600522968590188277e-01
3.150000000000000022e-01 9.477204974695551121e-01
3.225000000000000089e-01 9.369891146907992630e-01
3.299999999999999600e-01 9.276814289425077131e-01
3.374999999999999667e-01 9.196998804074816292e-01
3.449999999999999734e-01 9.129059511070894972e-01
3.524999999999999800e-01 9.069517827740135596e-01
3.599999999999999867e-01 9.016848154395915582e-01
3.674999999999999933e-01 8.976350595611047867e-01
3.750000000000000000e-01 8.942445695046684628e-01
3.825000000000000067e-01 8.917772355670631201e-01
3.900000000000000133e-01 8.904225217654355706e-01
3.974999999999999645e-01 8.897415073481016456e-01
4.049999999999999711e-01 8.560017052714654628e-01
4.124999999999999778e-01 8.399274423889029340e-01
4.199999999999999845e-01 8.246032033022734353e-01
4.274999999999999911e-01 8.117824636381559822e-01
4.349999999999999978e-01 8.006274147288326981e-01
4.425000000000000044e-01 7.891628925844118569e-01
4.499999999999999556e-01 7.806804217908266397e-01
4.574999999999999623e-01 7.749480418810205107e-01
4.649999999999999689e-01 7.720396209796783760e-01
4.724999999999999756e-01 7.593706796553021388e-01
4.799999999999999822e-01 7.624265903007209078e-01
4.874999999999999889e-01 7.855974120245123871e-01
4.949999999999999956e-01 8.523276959503328642e-01
5.024999999999999467e-01 2.770019562397506019e-01
5.100000000000000089e-01 1.747065621609802111e-01
5.174999999999999600e-01 1.461712381462611232e-01
5.250000000000000222e-01 1.288255931247919428e-01
5.324999999999999734e-01 1.164410845906782566e-01
5.400000000000000355e-01 1.070806661477748806e-01
5.474999999999999867e-01 1.000102445760990000e-01
5.549999999999999378e-01 9.393342507490909377e-02
5.625000000000000000e-01 8.728010221573985483e-02
5.699999999999999512e-01 8.433960824806245593e-02
5.775000000000000133e-01 7.813188603697253376e-02
5.849999999999999645e-01 7.642254671029531654e-02
5.925000000000000266e-01 6.957172088697988199e-02
5.999999999999999778e-01 6.871724743019490267e-02
