# beta0 normalized_area_over_peak_FSR_width
0.000000000000000000e+00 1.105442407158193419e+00
7.499999999999999722e-03 1.082002600067626163e+00
1.499999999999999944e-02 1.092387773183155053e+00
2.249999999999999917e-02 1.117202912580680163e+00
2.999999999999999889e-02 1.117689091128551526e+00
3.749999999999999861e-02 1.136057304278659252e+00
4.499999999999999833e-02 1.149791393160283670e+00
5.249999999999999806e-02 1.087001828365253608e+00
5.999999999999999778e-02 1.066284746660811189e+00
6.750000000000000444e-02 1.088998407226061227e+00
7.499999999999999722e-02 1.123838508818867377e+00
8.249999999999999001e-02 1.210472440804019056e+00
8.999999999999999667e-02 1.159035929267810516e+00
9.750000000000000333e-02 1.082688324681015501e+00
1.049999999999999961e-01 1.053886686347574653e+00
1.124999999999999889e-01 1.075918594366952252e+00
1.199999999999999956e-01 1.149343747916835357e+00
1.275000000000000022e-01 1.227727648439595143e+00
1.350000000000000089e-01 1.110402818844826500e+00
1.424999999999999878e-01 1.047424084319410920e+00
1.499999999999999944e-01 1.042146257325412106e+00
1.575000000000000011e-01 1.087822194624701089e+00
1.649999999999999800e-01 1.185935280728364738e+00
1.724999999999999867e-01 1.097209443601482093e+00
1.799999999999999933e-01 1.014632328813594775e+00
1.875000000000000000e-01 9.893061780172567321e-01
1.950000000000000067e-01 1.012492379098926421e+00
2.024999999999999856e-01 1.081449766470671037e+00
2.099999999999999922e-01 1.002597706593618243e+00
2.174999999999999989e-01 9.143607433408736940e-01
2.249999999999999778e-01 8.778975451609424274e-01
2.324999999999999845e-01 8.893152516634575955e-01
2.399999999999999911e-01 9.428144460394946025e-01
2.474999999999999978e-01 1.032037184123435480e+00
2.550000000000000044e-01 1.111591754040734958e+00
2.625000000000000111e-01 1.173439471675966850e+00
2.700000000000000178e-01 1.069483065703833669e+00
2.774999999999999689e-01 1.010074540000343246e+00
2.849999999999999756e-01 9.848963252221979436e-01
2.924999999999999822e-01 9.841647295849907939e-01
2.999999999999999889e-01 1.000000000000000000e+00
3.074999999999999956e-01 1.025931377058728167e+00
3.150000000000000022e-01 1.056238437529770646e+00
3.225000000000000089e-01 1.086186868235289538e+00
3.299999999999999600e-01 1.112170930077412523e+00
3.374999999999999667e-01 1.099055313175727688e+00
3.449999999999999734e-01 1.093553682764988100e+00
3.524999999999999800e-01 1.098472897306305596e+00
3.599999999999999867e-01 1.114330223738943637e+00
3.674999999999999933e-01 1.113338090833780436e+00
3.750000000000000000e-01 1.086266490549990804e+00
3.825000000000000067e-01 1.055327265322917540e+00
3.900000000000000133e-01 1.026563396266780170e+00
3.974999999999999645e-01 1.008203395441556127e+00
4.049999999999999711e-01 9.743152857000882960e-01
4.124999999999999778e-01 9.969113987643641872e-01
4.199999999999999845e-01 1.074043778142280692e+00
4.274999999999999911e-01 1.003098688203883704e+00
4.349999999999999978e-01 9.457870176440394960e-01
4.425000000000000044e-01 1.002965601139097052e+00
4.499999999999999556e-01 9.927135377497401381e-01
4.574999999999999623e-01 9.659214342976879530e-01
4.649999999999999689e-01 1.012084573827292999e+00
4.724999999999999756e-01 1.036479337685319857e+00
4.799999999999999822e-01 1.007299301691320759e+00
4.874999999999999889e-01 1.091965756308528990e+00
4.949999999999999956e-01 1.196505258064215926e+00
5.024999999999999467e-01 nan
5.100000000000000089e-01 nan
5.174999999999999600e-01 nan
5.250000000000000222e-01 nan
5.324999999999999734e-01 nan
5.400000000000000355e-01 nan
5.474999999999999867e-01 nan
5.549999999999999378e-01 nan
5.625000000000000000e-01 nan
5.699999999999999512e-01 nan
5.775000000000000133e-01 nan
5.849999999999999645e-01 nan
5.925000000000000266e-01 nan
5.999999999999999778e-01 nan
