# beta0 positive_spectral_weight_transfer_ratio_W_FSR_over_W_CP
0.000000000000000000e+00 2.197106829297796082e+02
7.499999999999999722e-03 2.095877445248355855e+02
1.499999999999999944e-02 1.858585433156192153e+02
2.249999999999999917e-02 1.567163650015305336e+02
2.999999999999999889e-02 1.287635902082168116e+02
3.749999999999999861e-02 1.050277924934978699e+02
4.499999999999999833e-02 8.598389908446199570e+01
5.249999999999999806e-02 7.101133801559674907e+01
5.999999999999999778e-02 5.929715134370991336e+01
6.750000000000000444e-02 5.012965494352414453e+01
7.499999999999999722e-02 4.286581933514914766e+01
8.249999999999999001e-02 3.700997183538984103e+01
8.999999999999999667e-02 3.233442333173636740e+01
9.750000000000000333e-02 2.861565854925412111e+01
1.049999999999999961e-01 2.546297063376924541e+01
1.124999999999999889e-01 2.281261552039148555e+01
1.199999999999999956e-01 2.062876040821518941e+01
1.275000000000000022e-01 1.869455691124463570e+01
1.350000000000000089e-01 1.713134587912231055e+01
1.424999999999999878e-01 1.572628297221510252e+01
1.499999999999999944e-01 1.449393930235896022e+01
1.575000000000000011e-01 1.339889018710482915e+01
1.649999999999999800e-01 1.241069125376242965e+01
1.724999999999999867e-01 1.151612858789835059e+01
1.799999999999999933e-01 1.078014116703068837e+01
1.875000000000000000e-01 9.836766704243787629e+00
1.950000000000000067e-01 9.396725514159824044e+00
2.024999999999999856e-01 8.965574736199382500e+00
2.099999999999999922e-01 8.220508097464851005e+00
2.174999999999999989e-01 7.713354620296194675e+00
2.249999999999999778e-01 7.255710211805081578e+00
2.324999999999999845e-01 6.773578399979964360e+00
2.399999999999999911e-01 6.533854774601035587e+00
2.474999999999999978e-01 6.019257999384597824e+00
2.550000000000000044e-01 5.684867248466110468e+00
2.625000000000000111e-01 5.479376597174485219e+00
2.700000000000000178e-01 5.252767271791488390e+00
2.774999999999999689e-01 5.050177602828209267e+00
2.849999999999999756e-01 5.014791118481583432e+00
2.924999999999999822e-01 4.904530827121218017e+00
2.999999999999999889e-01 4.912904779058185234e+00
3.074999999999999956e-01 5.044324871501483010e+00
3.150000000000000022e-01 5.325372705299563414e+00
3.225000000000000089e-01 5.829673935393218542e+00
3.299999999999999600e-01 6.262532310895712051e+00
3.374999999999999667e-01 6.707413480865716870e+00
3.449999999999999734e-01 7.031792762609044622e+00
3.524999999999999800e-01 7.329795975253904139e+00
3.599999999999999867e-01 7.488122695870013779e+00
3.674999999999999933e-01 7.774292810891916261e+00
3.750000000000000000e-01 7.990143212139201090e+00
3.825000000000000067e-01 8.319888015546249349e+00
3.900000000000000133e-01 8.803977562816294622e+00
3.974999999999999645e-01 9.522818358523810645e+00
4.049999999999999711e-01 1.038041468438273895e+01
4.124999999999999778e-01 1.195871058756914351e+01
4.199999999999999845e-01 1.394111628215061138e+01
4.274999999999999911e-01 1.581431686661177416e+01
4.349999999999999978e-01 1.746959676387488614e+01
4.425000000000000044e-01 1.891992347463158808e+01
4.499999999999999556e-01 2.029724617361768679e+01
4.574999999999999623e-01 2.171399367263246205e+01
4.649999999999999689e-01 2.312925275381990531e+01
4.724999999999999756e-01 2.427016724013498461e+01
4.799999999999999822e-01 2.587704341322677593e+01
4.874999999999999889e-01 2.821869000186215004e+01
4.949999999999999956e-01 3.240680058349970238e+01
5.024999999999999467e-01 1.111486351442901999e+01
5.100000000000000089e-01 7.418897283724390057e+00
5.174999999999999600e-01 6.571008100158670651e+00
5.250000000000000222e-01 6.155633695152367579e+00
5.324999999999999734e-01 5.958496159233245493e+00
5.400000000000000355e-01 5.884234532934861761e+00
5.474999999999999867e-01 5.968168888326447430e+00
5.549999999999999378e-01 6.114512097416377578e+00
5.625000000000000000e-01 6.299480529131061601e+00
5.699999999999999512e-01 6.859424429440889703e+00
5.775000000000000133e-01 7.221930512601371532e+00
5.849999999999999645e-01 7.969754889685086496e+00
5.925000000000000266e-01 7.995338815812648825e+00
5.999999999999999778e-01 8.511938379575354929e+00
