# beta0 normalized_positive_transfer_ratio_W_FSR_over_W_CP
0.000000000000000000e+00 4.472113603062720699e+01
7.499999999999999722e-03 4.266065677035450676e+01
1.499999999999999944e-02 3.783068300201183831e+01
2.249999999999999917e-02 3.189892172743747167e+01
2.999999999999999889e-02 2.620925826958549010e+01
3.749999999999999861e-02 2.137794181177513764e+01
4.499999999999999833e-02 1.750164168680372967e+01
5.249999999999999806e-02 1.445404322068089797e+01
5.999999999999999778e-02 1.206967242607077573e+01
6.750000000000000444e-02 1.020366915255664964e+01
7.499999999999999722e-02 8.725147598599829024e+00
8.249999999999999001e-02 7.533215785730074110e+00
8.999999999999999667e-02 6.581528603926035892e+00
9.750000000000000333e-02 5.824590509311643238e+00
1.049999999999999961e-01 5.182874852838192936e+00
1.124999999999999889e-01 4.643406812530308514e+00
1.199999999999999956e-01 4.198892780529275726e+00
1.275000000000000022e-01 3.805194228663317357e+00
1.350000000000000089e-01 3.487009549248057727e+00
1.424999999999999878e-01 3.201015220007961570e+00
1.499999999999999944e-01 2.950177126196506627e+00
1.575000000000000011e-01 2.727284730658554590e+00
1.649999999999999800e-01 2.526141216223935615e+00
1.724999999999999867e-01 2.344056949157076630e+00
1.799999999999999933e-01 2.194249970604409850e+00
1.875000000000000000e-01 2.002230278546028863e+00
1.950000000000000067e-01 1.912661844010173695e+00
2.024999999999999856e-01 1.824903013471004698e+00
2.099999999999999922e-01 1.673248000349141895e+00
2.174999999999999989e-01 1.570019157133931254e+00
2.249999999999999778e-01 1.476867665486489845e+00
2.324999999999999845e-01 1.378731871387597785e+00
2.399999999999999911e-01 1.329937189593483282e+00
2.474999999999999978e-01 1.225193296039924995e+00
2.550000000000000044e-01 1.157129540287143987e+00
2.625000000000000111e-01 1.115302828691276504e+00
2.700000000000000178e-01 1.069177504555350877e+00
2.774999999999999689e-01 1.027941275058935622e+00
2.849999999999999756e-01 1.020738512958301314e+00
2.924999999999999822e-01 9.982955191859891331e-01
2.999999999999999889e-01 1.000000000000000000e+00
3.074999999999999956e-01 1.026749977529279878e+00
3.150000000000000022e-01 1.083956018850511738e+00
3.225000000000000089e-01 1.186604299811155672e+00
3.299999999999999600e-01 1.274710704264097938e+00
3.374999999999999667e-01 1.365264295261090499e+00
3.449999999999999734e-01 1.431290260821431071e+00
3.524999999999999800e-01 1.491947494382140693e+00
3.599999999999999867e-01 1.524174196859867436e+00
3.674999999999999933e-01 1.582422855828739650e+00
3.750000000000000000e-01 1.626358248626778691e+00
3.825000000000000067e-01 1.693476342348566810e+00
3.900000000000000133e-01 1.792010624823067833e+00
3.974999999999999645e-01 1.938327483796532302e+00
4.049999999999999711e-01 2.112887416143385266e+00
4.124999999999999778e-01 2.434142554226677913e+00
4.199999999999999845e-01 2.837652449845192049e+00
4.274999999999999911e-01 3.218934129157580148e+00
4.349999999999999978e-01 3.555859018139538641e+00
4.425000000000000044e-01 3.851066594101296481e+00
4.499999999999999556e-01 4.131414526928550046e+00
4.574999999999999623e-01 4.419787203120814745e+00
4.649999999999999689e-01 4.707856918459110140e+00
4.724999999999999756e-01 4.940085007059231259e+00
4.799999999999999822e-01 5.267157532450173818e+00
4.874999999999999889e-01 5.743789320352293615e+00
4.949999999999999956e-01 6.596260672838067940e+00
5.024999999999999467e-01 nan
5.100000000000000089e-01 nan
5.174999999999999600e-01 nan
5.250000000000000222e-01 nan
5.324999999999999734e-01 nan
5.400000000000000355e-01 nan
5.474999999999999867e-01 nan
5.549999999999999378e-01 nan
5.625000000000000000e-01 nan
5.699999999999999512e-01 nan
5.775000000000000133e-01 nan
5.849999999999999645e-01 nan
5.925000000000000266e-01 nan
5.999999999999999778e-01 nan
