# beta0 smoothed_normalized_positive_transfer_ratio_W_FSR_over_W_CP
0.000000000000000000e+00 4.107388406376258416e+01
7.499999999999999722e-03 3.869726103878493717e+01
1.499999999999999944e-02 3.506325360180566975e+01
2.249999999999999917e-02 3.056189271013249353e+01
2.999999999999999889e-02 2.583816897547765379e+01
3.749999999999999861e-02 2.144835393770505050e+01
4.499999999999999833e-02 1.768787009913462427e+01
5.249999999999999806e-02 1.461919340838689507e+01
5.999999999999999778e-02 1.217520374648477066e+01
6.750000000000000444e-02 1.024453470173219394e+01
7.499999999999999722e-02 8.717245745532757439e+00
8.249999999999999001e-02 7.502121369706035381e+00
8.999999999999999667e-02 6.528136188289988873e+00
9.750000000000000333e-02 5.739522027787763214e+00
1.049999999999999961e-01 5.092448478730721817e+00
1.124999999999999889e-01 4.554419378719518186e+00
1.199999999999999956e-01 4.102432967105172246e+00
1.275000000000000022e-01 3.719623946787123714e+00
1.350000000000000089e-01 3.392517605327758368e+00
1.424999999999999878e-01 3.109690691289761943e+00
1.499999999999999944e-01 2.861890850154536814e+00
1.575000000000000011e-01 2.642320324648168572e+00
1.649999999999999800e-01 2.446036181330623283e+00
1.724999999999999867e-01 2.269278664765214781e+00
1.799999999999999933e-01 2.110138006754916695e+00
1.875000000000000000e-01 1.968994097034632462e+00
1.950000000000000067e-01 1.844620702228173093e+00
2.024999999999999856e-01 1.730905360291651762e+00
2.099999999999999922e-01 1.622350808044197512e+00
2.174999999999999989e-01 1.519572106323087590e+00
2.249999999999999778e-01 1.425634485126484607e+00
2.324999999999999845e-01 1.340957065971364104e+00
2.399999999999999911e-01 1.263503712052951533e+00
2.474999999999999978e-01 1.192371069436090503e+00
2.550000000000000044e-01 1.129667482954615165e+00
2.625000000000000111e-01 1.077857621847781555e+00
2.700000000000000178e-01 1.037828639780953299e+00
2.774999999999999689e-01 1.010171857187152078e+00
2.849999999999999756e-01 9.949973600638649662e-01
2.924999999999999822e-01 9.913035978223398992e-01
2.999999999999999889e-01 1.000000000000000000e+00
3.074999999999999956e-01 1.026172899562951990e+00
3.150000000000000022e-01 1.074413107700307402e+00
3.225000000000000089e-01 1.141861204640388650e+00
3.299999999999999600e-01 1.218422962050676128e+00
3.374999999999999667e-01 1.293293324787166521e+00
3.449999999999999734e-01 1.359948489297616803e+00
3.524999999999999800e-01 1.417284600616636636e+00
3.599999999999999867e-01 1.468788606208091263e+00
3.674999999999999933e-01 1.520787201465684024e+00
3.750000000000000000e-01 1.581261475071089162e+00
3.825000000000000067e-01 1.660096519025051620e+00
3.900000000000000133e-01 1.769357815221305419e+00
3.974999999999999645e-01 1.923124832849092858e+00
4.049999999999999711e-01 2.134709874789119333e+00
4.124999999999999778e-01 2.407040605588565363e+00
4.199999999999999845e-01 2.723539607973407328e+00
4.274999999999999911e-01 3.054375321210629046e+00
4.349999999999999978e-01 3.374534704351991543e+00
4.425000000000000044e-01 3.674902313802959064e+00
4.499999999999999556e-01 3.959051354707858739e+00
4.574999999999999623e-01 4.235174585319143148e+00
4.649999999999999689e-01 4.515885800480702983e+00
4.724999999999999756e-01 4.824369628517334085e+00
4.799999999999999822e-01 5.183781375069290931e+00
4.874999999999999889e-01 5.577997529029471657e+00
4.949999999999999956e-01 5.932209912266546148e+00
5.024999999999999467e-01 nan
5.100000000000000089e-01 nan
5.174999999999999600e-01 nan
5.250000000000000222e-01 nan
5.324999999999999734e-01 nan
5.400000000000000355e-01 nan
5.474999999999999867e-01 nan
5.549999999999999378e-01 nan
5.625000000000000000e-01 nan
5.699999999999999512e-01 nan
5.775000000000000133e-01 nan
5.849999999999999645e-01 nan
5.925000000000000266e-01 nan
5.999999999999999778e-01 nan
