# beta0 TK_EP_assisted
0.000000000000000000e+00 0.000000000000000000e+00
7.499999999999999722e-03 0.000000000000000000e+00
1.499999999999999944e-02 0.000000000000000000e+00
2.249999999999999917e-02 1.476691360841183334e-150
2.999999999999999889e-02 4.724189375132785251e-85
3.749999999999999861e-02 9.858295419877482214e-55
4.499999999999999833e-02 2.908304294250929118e-38
5.249999999999999806e-02 2.479891679502397321e-28
5.999999999999999778e-02 6.916704719755894795e-22
6.750000000000000444e-02 1.815055315092104980e-17
7.499999999999999722e-02 2.628862480312676292e-14
8.249999999999999001e-02 5.734032079961715616e-12
8.999999999999999667e-02 3.445302602194245142e-10
9.750000000000000333e-02 8.346925935639629019e-09
1.049999999999999961e-01 1.046949150601111967e-07
1.124999999999999889e-01 8.054857756658419274e-07
1.199999999999999956e-01 4.278506734704065498e-06
1.275000000000000022e-01 1.707452773332722182e-05
1.350000000000000089e-01 5.445526518183951300e-05
1.424999999999999878e-01 1.453160888501705639e-04
1.499999999999999944e-01 3.359381900785240820e-04
1.575000000000000011e-01 6.909733650258184905e-04
1.649999999999999800e-01 1.291018425563520301e-03
1.724999999999999867e-01 2.227255448875615964e-03
1.799999999999999933e-01 3.594382193181591516e-03
1.875000000000000000e-01 5.483253938568349341e-03
1.950000000000000067e-01 7.974418998841447531e-03
2.024999999999999856e-01 1.121360197270143168e-02
2.099999999999999922e-01 1.543024257377818322e-02
2.174999999999999989e-01 2.057084596015796782e-02
2.249999999999999778e-01 2.667925579010874126e-02
2.324999999999999845e-01 3.377893039128738312e-02
2.399999999999999911e-01 4.187425340938889795e-02
2.474999999999999978e-01 5.095262871163362683e-02
2.550000000000000044e-01 6.098703077627141977e-02
2.625000000000000111e-01 7.193874198325220237e-02
2.700000000000000178e-01 8.376007471645743885e-02
2.774999999999999689e-01 9.639693866822010571e-02
2.849999999999999756e-01 1.097911669499683079e-01
2.924999999999999822e-01 1.238825567644160214e-01
2.999999999999999889e-01 1.386106117806837346e-01
3.074999999999999956e-01 1.539159953558214000e-01
3.150000000000000022e-01 1.697417181702813582e-01
3.225000000000000089e-01 1.860340925293813563e-01
3.299999999999999600e-01 2.027434901987040516e-01
3.374999999999999667e-01 2.198249426174014309e-01
3.449999999999999734e-01 2.372386228579564937e-01
3.524999999999999800e-01 2.549502487703069198e-01
3.599999999999999867e-01 2.729314472442140316e-01
3.674999999999999933e-01 2.911601213188143578e-01
3.750000000000000000e-01 3.096208659677963659e-01
3.825000000000000067e-01 3.283054861391176416e-01
3.900000000000000133e-01 3.472136840498049049e-01
3.974999999999999645e-01 3.663540050946303972e-01
4.049999999999999711e-01 3.857451685775845629e-01
4.124999999999999778e-01 4.054179706677480399e-01
4.199999999999999845e-01 4.254180507050131510e-01
4.274999999999999911e-01 4.458099933312646423e-01
4.349999999999999978e-01 4.666835691201713376e-01
4.425000000000000044e-01 4.881635487918811744e-01
4.499999999999999556e-01 5.104258153381290297e-01
4.574999999999999623e-01 5.337253389695213457e-01
4.649999999999999689e-01 5.584484896363799411e-01
4.724999999999999756e-01 5.852213212563325273e-01
4.799999999999999822e-01 6.151692911866031288e-01
4.874999999999999889e-01 6.507065383521339896e-01
4.949999999999999956e-01 6.994089979921398470e-01
5.024999999999999467e-01 7.250589884537858021e-01
5.100000000000000089e-01 6.720006379367798877e-01
5.174999999999999600e-01 6.422150219097965129e-01
5.250000000000000222e-01 6.210330533429506694e-01
5.324999999999999734e-01 6.047277306820552090e-01
5.400000000000000355e-01 5.916481667008809398e-01
5.474999999999999867e-01 5.808873822802520515e-01
5.549999999999999378e-01 5.718830788678501698e-01
5.625000000000000000e-01 5.642582777075300093e-01
5.699999999999999512e-01 5.577459614401163446e-01
5.775000000000000133e-01 5.521491274118086601e-01
5.849999999999999645e-01 5.473177829560065266e-01
5.925000000000000266e-01 5.431348344075160872e-01
5.999999999999999778e-01 5.395069900356574966e-01
