# beta0 FDR_window_temperature_scale_re_solved_diagnostic_not_main_TK
0.000000000000000000e+00 1.402704751307923825e-01
7.499999999999999722e-03 1.411916726979385028e-01
1.499999999999999944e-02 1.419850834024481145e-01
2.249999999999999917e-02 1.426447640590062238e-01
2.999999999999999889e-02 1.431658865580731355e-01
3.749999999999999861e-02 1.435470201858057848e-01
4.499999999999999833e-02 1.437916180740000383e-01
5.249999999999999806e-02 1.439075376347194457e-01
5.999999999999999778e-02 1.439021761516287579e-01
6.750000000000000444e-02 1.437732089341462738e-01
7.499999999999999722e-02 1.435088229100399126e-01
8.249999999999999001e-02 1.431088411328000909e-01
8.999999999999999667e-02 1.425710977885895903e-01
9.750000000000000333e-02 1.418766916599073225e-01
1.049999999999999961e-01 1.410553400811028202e-01
1.124999999999999889e-01 1.400820748991997711e-01
1.199999999999999956e-01 1.389597774003299702e-01
1.275000000000000022e-01 1.376373804610136753e-01
1.350000000000000089e-01 1.361452182725138293e-01
1.424999999999999878e-01 1.344456063279031444e-01
1.499999999999999944e-01 1.325669068421858332e-01
1.575000000000000011e-01 1.304443054825698833e-01
1.649999999999999800e-01 1.280164772998030331e-01
1.724999999999999867e-01 1.253087780200486112e-01
1.799999999999999933e-01 1.222994360364192679e-01
1.875000000000000000e-01 1.189057276970427734e-01
1.950000000000000067e-01 1.150413901564238395e-01
2.024999999999999856e-01 1.106685567368713152e-01
2.099999999999999922e-01 1.058850528120351964e-01
2.174999999999999989e-01 1.012350861501983834e-01
2.249999999999999778e-01 9.641220707154728176e-02
2.324999999999999845e-01 9.136278737155699436e-02
2.399999999999999911e-01 8.600102909093357284e-02
2.474999999999999978e-01 8.010088054526437462e-02
2.550000000000000044e-01 7.335164468504629109e-02
2.625000000000000111e-01 6.526958222802066445e-02
2.700000000000000178e-01 5.509687479225068574e-02
2.774999999999999689e-01 4.653859162263313670e-02
2.849999999999999756e-01 3.827046479777938132e-02
2.924999999999999822e-01 2.854487171619829455e-02
2.999999999999999889e-01 1.978638589175720289e-02
3.074999999999999956e-01 1.133380203142182047e-02
3.150000000000000022e-01 3.817582916512869858e-03
3.225000000000000089e-01 3.434539849038788922e-02
3.299999999999999600e-01 1.794081071797438628e-02
3.374999999999999667e-01 2.651668280224488486e-02
3.449999999999999734e-01 5.080820817166514097e-02
3.524999999999999800e-01 7.961697120404065409e-02
3.599999999999999867e-01 9.678462526279661693e-02
3.674999999999999933e-01 1.263813761869650443e-01
3.750000000000000000e-01 1.071927252931930280e-01
3.825000000000000067e-01 1.605809847317287153e-01
3.900000000000000133e-01 9.570990885590228980e-02
3.974999999999999645e-01 1.530207528492783797e-01
4.049999999999999711e-01 7.166871313746349392e-02
4.124999999999999778e-01 9.297154934780735291e-02
4.199999999999999845e-01 7.013765882951125685e-02
4.274999999999999911e-01 8.520245529296389952e-02
4.349999999999999978e-01 7.408791865655918463e-02
4.425000000000000044e-01 7.221097088033190392e-02
4.499999999999999556e-01 7.213658600728195536e-02
4.574999999999999623e-01 5.911503570406485136e-02
4.649999999999999689e-01 6.454833250583857929e-02
4.724999999999999756e-01 4.769881182501407163e-02
4.799999999999999822e-01 4.824831945732586946e-02
4.874999999999999889e-01 3.732001402190161105e-02
4.949999999999999956e-01 3.735137657045147636e-02
5.024999999999999467e-01 3.219628286416063162e-02
5.100000000000000089e-01 1.068388921601736291e-01
5.174999999999999600e-01 5.840842959985460547e-01
5.250000000000000222e-01 8.308957934175461441e-03
5.324999999999999734e-01 1.228785130407668291e-02
5.400000000000000355e-01 1.812289409046496588e-02
5.474999999999999867e-01 2.467473573629716185e-02
5.549999999999999378e-01 3.240786186090509335e-02
5.625000000000000000e-01 3.440300043223895599e-02
5.699999999999999512e-01 4.081977896763085145e-02
5.775000000000000133e-01 4.898110258074280660e-02
5.849999999999999645e-01 5.335738546481463840e-02
5.925000000000000266e-01 5.896996636333069752e-02
5.999999999999999778e-01 6.778967174430826359e-02
