# beta0 TK_SW
0.000000000000000000e+00 0.000000000000000000e+00
7.499999999999999722e-03 0.000000000000000000e+00
1.499999999999999944e-02 0.000000000000000000e+00
2.249999999999999917e-02 1.476691360841183334e-150
2.999999999999999889e-02 4.724189375132785251e-85
3.749999999999999861e-02 9.858295419877482214e-55
4.499999999999999833e-02 2.908304294250929118e-38
5.249999999999999806e-02 2.479891679502397321e-28
5.999999999999999778e-02 6.916704719755894795e-22
6.750000000000000444e-02 1.815055315092104980e-17
7.499999999999999722e-02 2.628862480312676292e-14
8.249999999999999001e-02 5.734032079961715616e-12
8.999999999999999667e-02 3.445302602194245142e-10
9.750000000000000333e-02 8.346925935639629019e-09
1.049999999999999961e-01 1.046949150601111967e-07
1.124999999999999889e-01 8.054857756658419274e-07
1.199999999999999956e-01 4.278506734704065498e-06
1.275000000000000022e-01 1.707452773332722182e-05
1.350000000000000089e-01 5.445526518183951300e-05
1.424999999999999878e-01 1.453160888501705639e-04
1.499999999999999944e-01 3.359381900785240820e-04
1.575000000000000011e-01 6.909733650258184905e-04
1.649999999999999800e-01 1.291018425563520301e-03
1.724999999999999867e-01 2.227255448875615964e-03
1.799999999999999933e-01 3.594382193181591516e-03
1.875000000000000000e-01 5.483253938568349341e-03
1.950000000000000067e-01 7.974418998841447531e-03
2.024999999999999856e-01 1.113328208280001293e-02
2.099999999999999922e-01 1.500717020830038238e-02
2.174999999999999989e-01 1.962421877429220557e-02
2.249999999999999778e-01 2.499377638196563847e-02
2.324999999999999845e-01 3.110793261275288796e-02
2.399999999999999911e-01 3.794376885351186807e-02
2.474999999999999978e-01 4.546598186406842351e-02
2.550000000000000044e-01 5.362960349982616448e-02
2.625000000000000111e-01 6.238261768525357048e-02
2.700000000000000178e-01 7.166834577493795544e-02
2.774999999999999689e-01 8.142752858224666657e-02
2.849999999999999756e-01 9.160007644876677624e-02
2.924999999999999822e-01 1.021264889112607627e-01
2.999999999999999889e-01 1.129489649715467309e-01
3.074999999999999956e-01 1.240122361178781218e-01
3.150000000000000022e-01 1.352641593441736845e-01
3.225000000000000089e-01 1.466561083673002253e-01
3.299999999999999600e-01 1.581431995463560558e-01
3.374999999999999667e-01 1.696843857731916150e-01
3.449999999999999734e-01 1.812424476180391764e-01
3.524999999999999800e-01 1.927839068091046770e-01
3.599999999999999867e-01 2.042788830374975551e-01
3.674999999999999933e-01 2.157009113060338878e-01
3.750000000000000000e-01 2.270267336819747350e-01
3.825000000000000067e-01 2.382360764046431434e-01
3.900000000000000133e-01 2.493114208332095627e-01
3.974999999999999645e-01 2.602377746678347092e-01
4.049999999999999711e-01 2.710024481965200294e-01
4.124999999999999778e-01 2.815948389632925153e-01
4.199999999999999845e-01 2.920062271736076909e-01
4.274999999999999911e-01 3.022295833057161429e-01
4.349999999999999978e-01 3.122593887421392100e-01
4.425000000000000044e-01 3.220914697381034864e-01
4.499999999999999556e-01 3.317228446735636105e-01
4.574999999999999623e-01 3.411515842667084963e-01
4.649999999999999689e-01 3.503766842382958768e-01
4.724999999999999756e-01 3.593979497902557441e-01
4.799999999999999822e-01 3.682158911844296556e-01
4.874999999999999889e-01 3.768316296665301102e-01
4.949999999999999956e-01 3.852468129671748898e-01
5.024999999999999467e-01 3.934635396188366219e-01
5.100000000000000089e-01 4.014842913489849452e-01
5.174999999999999600e-01 4.093118728411010987e-01
5.250000000000000222e-01 4.169493581931341120e-01
5.324999999999999734e-01 4.244000434447135484e-01
5.400000000000000355e-01 4.316674045880449784e-01
5.474999999999999867e-01 4.387550605214041721e-01
5.549999999999999378e-01 4.456667404474790595e-01
5.625000000000000000e-01 4.524062552606964438e-01
5.699999999999999512e-01 4.589774725076378736e-01
5.775000000000000133e-01 4.653842945423568578e-01
5.849999999999999645e-01 4.716306395336768431e-01
5.925000000000000266e-01 4.777204250143116115e-01
5.999999999999999778e-01 4.836575536918961693e-01
