# beta0 Z_EP_biorthogonal
0.000000000000000000e+00 1.000000000000000000e+00
7.499999999999999722e-03 1.000000000000000000e+00
1.499999999999999944e-02 1.000000000000000000e+00
2.249999999999999917e-02 1.000000000000000000e+00
2.999999999999999889e-02 1.000000000000000000e+00
3.749999999999999861e-02 1.000000000000000000e+00
4.499999999999999833e-02 1.000000000000000000e+00
5.249999999999999806e-02 1.000000000000000000e+00
5.999999999999999778e-02 1.000000000000000000e+00
6.750000000000000444e-02 1.000000000000000000e+00
7.499999999999999722e-02 1.000000000000000000e+00
8.249999999999999001e-02 1.000000000000000000e+00
8.999999999999999667e-02 1.000000000000000000e+00
9.750000000000000333e-02 1.000000000000000000e+00
1.049999999999999961e-01 1.000000000000000000e+00
1.124999999999999889e-01 1.000000000000000000e+00
1.199999999999999956e-01 1.000000000000000000e+00
1.275000000000000022e-01 1.000000000000000000e+00
1.350000000000000089e-01 1.000000000000000000e+00
1.424999999999999878e-01 1.000000000000000000e+00
1.499999999999999944e-01 1.000000000000000000e+00
1.575000000000000011e-01 1.000000000000000000e+00
1.649999999999999800e-01 1.000000000000000000e+00
1.724999999999999867e-01 1.000000000000000000e+00
1.799999999999999933e-01 1.000000000000000000e+00
1.875000000000000000e-01 1.000000000000000000e+00
1.950000000000000067e-01 1.000000000000000000e+00
2.024999999999999856e-01 1.001691783533510405e+00
2.099999999999999922e-01 1.007074368138451081e+00
2.174999999999999989e-01 1.012934180852340438e+00
2.249999999999999778e-01 1.019294382875250982e+00
2.324999999999999845e-01 1.026180907781659490e+00
2.399999999999999911e-01 1.033622788243403923e+00
2.474999999999999978e-01 1.041652538445714260e+00
2.550000000000000044e-01 1.050306602991154081e+00
2.625000000000000111e-01 1.059625885652035082e+00
2.700000000000000178e-01 1.069656374601395177e+00
2.774999999999999689e-01 1.080449884950157369e+00
2.849999999999999756e-01 1.092064944849267860e+00
2.924999999999999822e-01 1.104567858501168232e+00
2.999999999999999889e-01 1.118033988749894903e+00
3.074999999999999956e-01 1.132549314305834498e+00
3.150000000000000022e-01 1.148212333278998409e+00
3.225000000000000089e-01 1.165136407227120419e+00
3.299999999999999600e-01 1.183452670827876752e+00
3.374999999999999667e-01 1.203313675192373644e+00
3.449999999999999734e-01 1.224897993211452540e+00
3.524999999999999800e-01 1.248416101513051713e+00
3.599999999999999867e-01 1.274117978594063949e+00
3.674999999999999933e-01 1.302303043084495071e+00
3.750000000000000000e-01 1.333333333333333259e+00
3.825000000000000067e-01 1.367651255099902263e+00
3.900000000000000133e-01 1.405803892788832998e+00
3.974999999999999645e-01 1.448476957698672019e+00
4.049999999999999711e-01 1.496543236039248326e+00
4.124999999999999778e-01 1.551133468658961956e+00
4.199999999999999845e-01 1.613743060919756722e+00
4.274999999999999911e-01 1.686398190023521648e+00
4.349999999999999978e-01 1.771924779845835074e+00
4.425000000000000044e-01 1.874405190385111775e+00
4.499999999999999556e-01 1.999999999999999112e+00
4.574999999999999623e-01 2.158538732188420628e+00
4.649999999999999689e-01 2.366905341655755279e+00
4.724999999999999756e-01 2.657235455277489500e+00
4.799999999999999822e-01 3.100868364730211546e+00
4.874999999999999889e-01 3.903600291794129262e+00
4.949999999999999956e-01 6.142951168339486401e+00
5.024999999999999467e-01 8.646754023342493767e+00
5.100000000000000089e-01 4.303314829119333496e+00
5.174999999999999600e-01 3.238043840981872368e+00
5.250000000000000222e-01 2.696799449852967712e+00
5.324999999999999734e-01 2.354571201727726049e+00
5.400000000000000355e-01 2.112885636821290714e+00
5.474999999999999867e-01 1.930318492632636440e+00
5.549999999999999378e-01 1.785999065922732720e+00
5.625000000000000000e-01 1.668115312456597943e+00
5.699999999999999512e-01 1.569412051435861155e+00
5.775000000000000133e-01 1.485153064513710541e+00
5.849999999999999645e-01 1.412097003099120229e+00
5.925000000000000266e-01 1.347940278133116010e+00
5.999999999999999778e-01 1.290994448735805822e+00
