# beta0 omega_lower_peak
0.000000000000000000e+00 -1.374219215631404145e+00
7.499999999999999722e-03 -1.376027925416617448e+00
1.499999999999999944e-02 -1.377861314373042489e+00
2.249999999999999917e-02 -6.282411984997922083e-01
2.999999999999999889e-02 -6.282701293022960876e-01
3.749999999999999861e-02 -6.288054455128601061e-01
4.499999999999999833e-02 -1.386208510730781107e+00
5.249999999999999806e-02 -1.388226023219292671e+00
5.999999999999999778e-02 -1.390253685261608085e+00
6.750000000000000444e-02 -1.392314437480073330e+00
7.499999999999999722e-02 -6.390828571374386202e-01
8.249999999999999001e-02 -6.424489761464693416e-01
8.999999999999999667e-02 -1.399360976578125859e+00
9.750000000000000333e-02 -1.401579447553116253e+00
1.049999999999999961e-01 -1.403800336611435107e+00
1.124999999999999889e-01 -1.406050211873319356e+00
1.199999999999999956e-01 -1.408355484877139130e+00
1.275000000000000022e-01 -1.411257523067014574e+00
1.350000000000000089e-01 -1.413632455880136751e+00
1.424999999999999878e-01 -1.415998025412255723e+00
1.499999999999999944e-01 -1.418367606586108165e+00
1.575000000000000011e-01 -1.420773663139880183e+00
1.649999999999999800e-01 -1.423224560824475349e+00
1.724999999999999867e-01 -1.426259640436738474e+00
1.799999999999999933e-01 -1.428717422905681822e+00
1.875000000000000000e-01 -1.431161401672889744e+00
1.950000000000000067e-01 -1.433619021554478401e+00
2.024999999999999856e-01 -1.436102848800350662e+00
2.099999999999999922e-01 -1.439189893331287218e+00
2.174999999999999989e-01 -1.441664744201347936e+00
2.249999999999999778e-01 -1.444105941581086627e+00
2.324999999999999845e-01 -1.446531439795969431e+00
2.399999999999999911e-01 -1.448957837421349648e+00
2.474999999999999978e-01 -1.452021395532697046e+00
2.550000000000000044e-01 -1.454409864573934730e+00
2.625000000000000111e-01 -1.456732180782063235e+00
2.700000000000000178e-01 -1.459002017159787279e+00
2.774999999999999689e-01 -1.461240167462370954e+00
2.849999999999999756e-01 -1.464171064626396790e+00
2.924999999999999822e-01 -1.466313287938461496e+00
2.999999999999999889e-01 -1.468347623355501508e+00
3.074999999999999956e-01 -1.470273695783577805e+00
3.150000000000000022e-01 -1.472090485871701659e+00
3.225000000000000089e-01 -1.473782083705369006e+00
3.299999999999999600e-01 -1.476324200873476045e+00
3.374999999999999667e-01 -1.477758023264127196e+00
3.449999999999999734e-01 -1.478942381676075835e+00
3.524999999999999800e-01 -1.479838242394930781e+00
3.599999999999999867e-01 -1.480344058739383017e+00
3.674999999999999933e-01 -1.480238054291800109e+00
3.750000000000000000e-01 -1.478896052781949910e+00
3.825000000000000067e-01 -1.479178428519978494e+00
3.900000000000000133e-01 -1.473148204857415378e+00
3.974999999999999645e-01 -1.468348065909405475e+00
4.049999999999999711e-01 -1.470293241838459108e+00
4.124999999999999778e-01 -1.465373931558070497e+00
4.199999999999999845e-01 -1.455310540277470643e+00
4.274999999999999911e-01 -1.433189291246843133e+00
4.349999999999999978e-01 -1.395129492337100929e+00
4.425000000000000044e-01 -1.379861428402726853e+00
4.499999999999999556e-01 -1.373131477406515977e+00
4.574999999999999623e-01 -1.376286545373255565e+00
4.649999999999999689e-01 -1.380608890292986279e+00
4.724999999999999756e-01 -1.385490824502078722e+00
4.799999999999999822e-01 -1.389271537802779566e+00
4.874999999999999889e-01 -1.393534498669882105e+00
4.949999999999999956e-01 -1.398064147078250885e+00
5.024999999999999467e-01 -1.375788396180018358e+00
5.100000000000000089e-01 -1.473745250075878532e+00
5.174999999999999600e-01 -1.486068598720598155e+00
5.250000000000000222e-01 -1.493119744859341846e+00
5.324999999999999734e-01 -1.508050347299453087e+00
5.400000000000000355e-01 -1.510562718951250716e+00
5.474999999999999867e-01 -1.507488813966497920e+00
5.549999999999999378e-01 -1.506184135029625004e+00
5.625000000000000000e-01 -1.500611593003464028e+00
5.699999999999999512e-01 -1.506518165489624250e+00
5.775000000000000133e-01 -1.503899323924781761e+00
5.849999999999999645e-01 -1.491995308475210225e+00
5.925000000000000266e-01 -1.482658000622192773e+00
5.999999999999999778e-01 -1.471733818171033548e+00
