# beta0 omega_upper_peak
0.000000000000000000e+00 nan
7.499999999999999722e-03 nan
1.499999999999999944e-02 nan
2.249999999999999917e-02 nan
2.999999999999999889e-02 nan
3.749999999999999861e-02 nan
4.499999999999999833e-02 nan
5.249999999999999806e-02 nan
5.999999999999999778e-02 nan
6.750000000000000444e-02 nan
7.499999999999999722e-02 nan
8.249999999999999001e-02 nan
8.999999999999999667e-02 nan
9.750000000000000333e-02 nan
1.049999999999999961e-01 nan
1.124999999999999889e-01 nan
1.199999999999999956e-01 nan
1.275000000000000022e-01 3.212508039791660969e-02
1.350000000000000089e-01 3.810985770636402675e-02
1.424999999999999878e-01 4.631858984354271513e-02
1.499999999999999944e-01 5.242503310983055720e-02
1.575000000000000011e-01 6.036052826790921227e-02
1.649999999999999800e-01 6.658092863110773307e-02
1.724999999999999867e-01 7.440855810078730870e-02
1.799999999999999933e-01 8.079488296067617592e-02
1.875000000000000000e-01 8.851555262999591389e-02
1.950000000000000067e-01 9.511464165411431804e-02
2.024999999999999856e-01 1.031304299338764163e-01
2.099999999999999922e-01 1.096248812526225136e-01
2.174999999999999989e-01 1.176303212463521430e-01
2.249999999999999778e-01 1.255410593334503055e-01
2.324999999999999845e-01 1.323441629296540911e-01
2.399999999999999911e-01 1.403817179258579906e-01
2.474999999999999978e-01 1.471939152325305311e-01
2.550000000000000044e-01 1.551941795415145986e-01
2.625000000000000111e-01 1.620885173295204262e-01
2.700000000000000178e-01 1.701499056934661913e-01
2.774999999999999689e-01 1.780088592401728453e-01
2.849999999999999756e-01 1.850277634793551507e-01
2.924999999999999822e-01 1.930709279099464271e-01
2.999999999999999889e-01 2.001457489316434413e-01
3.074999999999999956e-01 2.082042645672673997e-01
3.150000000000000022e-01 2.160573845346321631e-01
3.225000000000000089e-01 2.232782696878782558e-01
3.299999999999999600e-01 2.312312248386804714e-01
3.374999999999999667e-01 2.383323700370650056e-01
3.449999999999999734e-01 2.463183352403789939e-01
3.524999999999999800e-01 2.542745353414472276e-01
3.599999999999999867e-01 2.613910855672064160e-01
3.674999999999999933e-01 2.696184532023278013e-01
3.750000000000000000e-01 2.767832300910116339e-01
3.825000000000000067e-01 2.847799017718183334e-01
3.900000000000000133e-01 2.915538814187547678e-01
3.974999999999999645e-01 2.998497251864291613e-01
4.049999999999999711e-01 3.071717488885118419e-01
4.124999999999999778e-01 3.152612969744429949e-01
4.199999999999999845e-01 3.233884859002419399e-01
4.274999999999999911e-01 3.306770721883174335e-01
4.349999999999999978e-01 3.390801156247433834e-01
4.425000000000000044e-01 3.456137992096177114e-01
4.499999999999999556e-01 3.537849266636081125e-01
4.574999999999999623e-01 3.612003369564934507e-01
4.649999999999999689e-01 3.694963637808776347e-01
4.724999999999999756e-01 3.767719608274567866e-01
4.799999999999999822e-01 3.840565212497405456e-01
4.874999999999999889e-01 3.923710154035408570e-01
4.949999999999999956e-01 4.143136926228812578e-01
5.024999999999999467e-01 4.046329601032816470e-01
5.100000000000000089e-01 4.176019676647401146e-01
5.174999999999999600e-01 4.289834425995277534e-01
5.250000000000000222e-01 4.388181201974198919e-01
5.324999999999999734e-01 4.482961746980934636e-01
5.400000000000000355e-01 4.627057799472848454e-01
5.474999999999999867e-01 4.729690368577336712e-01
5.549999999999999378e-01 4.879873857964798778e-01
5.625000000000000000e-01 5.072055605622021179e-01
5.699999999999999512e-01 4.907160689457032987e-01
5.775000000000000133e-01 5.023650567904167641e-01
5.849999999999999645e-01 5.133406597022320828e-01
5.925000000000000266e-01 5.241219913119350426e-01
5.999999999999999778e-01 5.349678226330044639e-01
