# omega normalized_positive_A_imp_smooth
-3.500000000000000000e+00 1.212221690278510004e-03
-3.486215538847117656e+00 1.221675063282667058e-03
-3.472431077694235757e+00 1.234403362453956191e-03
-3.458646616541353414e+00 1.249019165906143942e-03
-3.444862155388471070e+00 1.264488715807382145e-03
-3.431077694235589171e+00 1.280388213913834054e-03
-3.417293233082706827e+00 1.296616694782163010e-03
-3.403508771929824483e+00 1.313165051687080215e-03
-3.389724310776942140e+00 1.330039909573634818e-03
-3.375939849624060241e+00 1.347250081418411433e-03
-3.362155388471177897e+00 1.364804684145033654e-03
-3.348370927318295553e+00 1.382713151442212978e-03
-3.334586466165413654e+00 1.400985247222799298e-03
-3.320802005012531311e+00 1.419631079760998778e-03
-3.307017543859648967e+00 1.438661116547365658e-03
-3.293233082706767068e+00 1.458086199903828447e-03
-3.279448621553884724e+00 1.477917563403828181e-03
-3.265664160401002380e+00 1.498166849145709904e-03
-3.251879699248120481e+00 1.518846125930773533e-03
-3.238095238095238138e+00 1.539967908400932759e-03
-3.224310776942355794e+00 1.561545177194719955e-03
-3.210526315789473450e+00 1.583591400184491743e-03
-3.196741854636591551e+00 1.606120554862091546e-03
-3.182957393483709208e+00 1.629147151945006767e-03
-3.169172932330827308e+00 1.652686260280206458e-03
-3.155388471177944965e+00 1.676753533128406883e-03
-3.141604010025062621e+00 1.701365235917522752e-03
-3.127819548872180277e+00 1.726538275560586620e-03
-3.114035087719298378e+00 1.752290231440437442e-03
-3.100250626566416035e+00 1.778639388171127014e-03
-3.086466165413533691e+00 1.805604770254248988e-03
-3.072681704260651792e+00 1.833206178757373255e-03
-3.058897243107769448e+00 1.861464230151488970e-03
-3.045112781954887105e+00 1.890400397454941768e-03
-3.031328320802005205e+00 1.920037053842823518e-03
-3.017543859649122862e+00 1.950397518893292031e-03
-3.003759398496240518e+00 1.981506107655869094e-03
-2.989974937343358619e+00 2.013388182741595797e-03
-2.976190476190476275e+00 2.046070209651067867e-03
-2.962406015037593932e+00 2.079579815573986620e-03
-2.948621553884711588e+00 2.113945851913089438e-03
-2.934837092731829689e+00 2.149198460806334230e-03
-2.921052631578947345e+00 2.185369145944198940e-03
-2.907268170426065446e+00 2.222490848004077257e-03
-2.893483709273183102e+00 2.260598025051325545e-03
-2.879699248120300759e+00 2.299726738286671148e-03
-2.865914786967418415e+00 2.339914743552855367e-03
-2.852130325814536516e+00 2.381201589049739432e-03
-2.838345864661654172e+00 2.423628719747094543e-03
-2.824561403508771829e+00 2.467239589028305275e-03
-2.810776942355889929e+00 2.512079778146643436e-03
-2.796992481203007586e+00 2.558197124129189901e-03
-2.783208020050125242e+00 2.605641856822406982e-03
-2.769423558897242899e+00 2.654466745838424731e-03
-2.755639097744360999e+00 2.704727258233084308e-03
-2.741854636591478656e+00 2.756481727826395802e-03
-2.728070175438596756e+00 2.809791537164295101e-03
-2.714285714285714413e+00 2.864721313218453105e-03
-2.700501253132832069e+00 2.921339138029509491e-03
-2.686716791979949726e+00 2.979716775619911922e-03
-2.672932330827067826e+00 3.039929916636915051e-03
-2.659147869674185483e+00 3.102058442336060127e-03
-2.645363408521303583e+00 3.166186709682502522e-03
-2.631578947368421240e+00 3.232403859534116203e-03
-2.617794486215538896e+00 3.300804150078964945e-03
-2.604010025062656553e+00 3.371487317933338779e-03
-2.590225563909774209e+00 3.444558969568490940e-03
-2.576441102756892310e+00 3.520131006028287806e-03
-2.562656641604009966e+00 3.598322084230603547e-03
-2.548872180451128067e+00 3.679258118517486544e-03
-2.535087719298245723e+00 3.763072826538786751e-03
-2.521303258145363380e+00 3.849908324027757726e-03
-2.507518796992481036e+00 3.939915773562970187e-03
-2.493734335839599137e+00 4.033256093017707072e-03
-2.479949874686716793e+00 4.130100730086424740e-03
-2.466165413533834894e+00 4.230632510060000975e-03
-2.452380952380952550e+00 4.335046564911702004e-03
-2.438596491228070207e+00 4.443551352770636932e-03
-2.424812030075187863e+00 4.556369778018567324e-03
-2.411027568922305520e+00 4.673740423571967444e-03
-2.397243107769423620e+00 4.795918908431368033e-03
-2.383458646616541721e+00 4.923179385325602772e-03
-2.369674185463659377e+00 5.055816195287365575e-03
-2.355889724310777034e+00 5.194145698312503147e-03
-2.342105263157894690e+00 5.338508301931423061e-03
-2.328320802005012347e+00 5.489270712619354238e-03
-2.314536340852130447e+00 5.646828438567473574e-03
-2.300751879699248104e+00 5.811608576518287328e-03
-2.286967418546366204e+00 5.984072920242998125e-03
-2.273182957393483861e+00 6.164721433934225100e-03
-2.259398496240601517e+00 6.354096140459572842e-03
-2.245614035087719174e+00 6.552785482257033993e-03
-2.231829573934837274e+00 6.761429221879698866e-03
-2.218045112781954931e+00 6.980723960090765012e-03
-2.204260651629073031e+00 7.211429362308114169e-03
-2.190476190476190688e+00 7.454375199513891583e-03
-2.176691729323308344e+00 7.710469327986603331e-03
-2.162907268170426001e+00 7.980706754007915738e-03
-2.149122807017543657e+00 8.266179955819196595e-03
-2.135338345864661758e+00 8.568090666518290641e-03
-2.121553884711779414e+00 8.887763359498083993e-03
-2.107769423558897515e+00 9.226660723942580605e-03
-2.093984962406015171e+00 9.586401473710736906e-03
-2.080200501253132828e+00 9.968780901050721885e-03
-2.066416040100250484e+00 1.037579467004282226e-02
-2.052631578947368585e+00 1.080966644735260537e-02
-2.038847117794486241e+00 1.127288009476968417e-02
-2.025062656641604342e+00 1.176821730553313967e-02
-2.011278195488721998e+00 1.229880176292563743e-02
-1.997493734335839655e+00 1.286815114590247888e-02
-1.983709273182957533e+00 1.348023861683146814e-02
-1.969924812030075190e+00 1.413956581951565476e-02
-1.956140350877193068e+00 1.485124991646157716e-02
-1.942355889724310947e+00 1.562112783613115938e-02
-1.928571428571428603e+00 1.645588172848493763e-02
-1.914786967418546482e+00 1.736319070124366440e-02
-1.901002506265664138e+00 1.835191531298116518e-02
-1.887218045112782017e+00 1.943232314676390793e-02
-1.873433583959899895e+00 2.061636623842252880e-02
-1.859649122807017552e+00 2.191802440931266832e-02
-1.845864661654135430e+00 2.335373296954946706e-02
-1.832080200501253309e+00 2.494291926410824312e-02
-1.818295739348370965e+00 2.670868078024440928e-02
