# omega normalized_positive_A_imp_smooth
-3.500000000000000000e+00 8.525782857633577416e-04
-3.486215538847117656e+00 8.571510859653029167e-04
-3.472431077694235757e+00 8.632890527062443654e-04
-3.458646616541353414e+00 8.703071349157412992e-04
-3.444862155388471070e+00 8.776960621604940581e-04
-3.431077694235589171e+00 8.852460882051156436e-04
-3.417293233082706827e+00 8.929056275038473219e-04
-3.403508771929824483e+00 9.006679938234522049e-04
-3.389724310776942140e+00 9.085341075825563743e-04
-3.375939849624060241e+00 9.165058597363250677e-04
-3.362155388471177897e+00 9.245851852000192862e-04
-3.348370927318295553e+00 9.327740640974239127e-04
-3.334586466165413654e+00 9.410745230512911584e-04
-3.320802005012531311e+00 9.494886365174386514e-04
-3.307017543859648967e+00 9.580185281642137956e-04
-3.293233082706767068e+00 9.666663722991095413e-04
-3.279448621553884724e+00 9.754343953444032230e-04
-3.265664160401002380e+00 9.843248773637658031e-04
-3.251879699248120481e+00 9.933401536418879491e-04
-3.238095238095238138e+00 1.002482616319247443e-03
-3.224310776942355794e+00 1.011754716084261891e-03
-3.210526315789473450e+00 1.021158963925146174e-03
-3.196741854636591551e+00 1.030697932943931867e-03
-3.182957393483709208e+00 1.040374260235191846e-03
-3.169172932330827308e+00 1.050190648832153911e-03
-3.155388471177944965e+00 1.060149869723002848e-03
-3.141604010025062621e+00 1.070254763940304762e-03
-3.127819548872180277e+00 1.080508244726628708e-03
-3.114035087719298378e+00 1.090913299779587868e-03
-3.100250626566416035e+00 1.101472993579675390e-03
-3.086466165413533691e+00 1.112190469804436987e-03
-3.072681704260651792e+00 1.123068953832689985e-03
-3.058897243107769448e+00 1.134111755342687849e-03
-3.045112781954887105e+00 1.145322271008313497e-03
-3.031328320802005205e+00 1.156703987297590282e-03
-3.017543859649122862e+00 1.168260483378017259e-03
-3.003759398496240518e+00 1.179995434133451065e-03
-2.989974937343358619e+00 1.191912613297508314e-03
-2.976190476190476275e+00 1.204015896708704805e-03
