# beta0 min_A_imp_signed
0.000000000000000000e+00 1.112062087787496056e-03
7.499999999999999722e-03 1.112657165240726236e-03
1.499999999999999944e-02 1.113394457717703772e-03
2.249999999999999917e-02 1.114274355750229572e-03
2.999999999999999889e-02 1.115297289123114025e-03
3.749999999999999861e-02 1.116463727264208321e-03
4.499999999999999833e-02 1.117774179647991126e-03
5.249999999999999806e-02 1.119229196213433752e-03
5.999999999999999778e-02 1.120829367796808036e-03
6.750000000000000444e-02 1.122575326580211013e-03
7.499999999999999722e-02 1.124467746556499217e-03
8.249999999999999001e-02 1.126507344011407801e-03
8.999999999999999667e-02 1.128694878023688442e-03
9.750000000000000333e-02 1.131031150984036044e-03
1.049999999999999961e-01 1.133517009133699557e-03
1.124999999999999889e-01 1.136153343123680066e-03
1.199999999999999956e-01 1.138941088595469588e-03
1.275000000000000022e-01 1.141881226784314390e-03
1.350000000000000089e-01 1.144974785146139935e-03
1.424999999999999878e-01 1.148222838009165924e-03
1.499999999999999944e-01 1.151626507251554341e-03
1.575000000000000011e-01 1.155186963006279207e-03
1.649999999999999800e-01 1.158905424394685848e-03
1.724999999999999867e-01 1.162783160290238897e-03
1.799999999999999933e-01 1.166821490114046964e-03
1.875000000000000000e-01 1.171021784664001914e-03
1.950000000000000067e-01 1.175385466979348998e-03
2.024999999999999856e-01 1.179914013242891165e-03
2.099999999999999922e-01 1.184608953722996166e-03
2.174999999999999989e-01 1.189471873757980786e-03
2.249999999999999778e-01 1.194504414785543898e-03
2.324999999999999845e-01 1.199708275420251127e-03
2.399999999999999911e-01 1.205085212582419386e-03
2.474999999999999978e-01 1.210637042681919065e-03
2.550000000000000044e-01 1.216365642861017525e-03
2.625000000000000111e-01 1.222272952300614175e-03
2.700000000000000178e-01 1.228360973594758154e-03
2.774999999999999689e-01 1.234631774198897839e-03
2.849999999999999756e-01 1.241087487957978370e-03
2.924999999999999822e-01 1.247730316720821507e-03
2.999999999999999889e-01 1.254562532048591247e-03
3.074999999999999956e-01 1.261586477025370030e-03
3.150000000000000022e-01 1.268804568180296761e-03
3.225000000000000089e-01 1.276219297531464621e-03
3.299999999999999600e-01 1.283833234763393904e-03
3.374999999999999667e-01 1.291649029550774336e-03
3.449999999999999734e-01 1.299669414043328960e-03
3.524999999999999800e-01 1.307897205527901912e-03
3.599999999999999867e-01 1.316335309286249247e-03
3.674999999999999933e-01 1.324986721669228068e-03
3.750000000000000000e-01 1.333854533410546188e-03
3.825000000000000067e-01 1.342941933206482849e-03
3.900000000000000133e-01 1.352252211591165347e-03
3.974999999999999645e-01 1.361788765140909459e-03
4.049999999999999711e-01 1.371555101045650576e-03
4.124999999999999778e-01 1.381554842090553219e-03
4.199999999999999845e-01 1.391791732096497002e-03
4.274999999999999911e-01 1.402269641875013469e-03
4.349999999999999978e-01 1.412992575760993637e-03
4.425000000000000044e-01 1.423964678794808125e-03
4.499999999999999556e-01 1.435190244636366970e-03
4.574999999999999623e-01 1.446673724304593832e-03
4.649999999999999689e-01 1.458419735850086238e-03
4.724999999999999756e-01 1.470433075083612661e-03
4.799999999999999822e-01 1.482718727502307151e-03
4.874999999999999889e-01 1.495281881575508771e-03
4.949999999999999956e-01 1.508127943577822596e-03
5.024999999999999467e-01 -2.940527191490942105e+00
5.100000000000000089e-01 -2.841682665437043287e+00
5.174999999999999600e-01 -9.872426768104661798e-01
5.250000000000000222e-01 -9.776305748955401720e-01
5.324999999999999734e-01 -8.847924139111209563e-01
5.400000000000000355e-01 -6.070700806423332541e-01
5.474999999999999867e-01 -5.925473248369313994e-01
5.549999999999999378e-01 -5.443986638180975390e-01
5.625000000000000000e-01 -4.322887826137720158e-01
5.699999999999999512e-01 -1.277304571402777977e+00
5.775000000000000133e-01 -3.389371107210196743e-01
5.849999999999999645e-01 -3.403916124747643490e-01
5.925000000000000266e-01 -2.749842446655009209e-01
5.999999999999999778e-01 -3.193257022406438272e-01
