# omega signed_A_imp_normalized
-3.500000000000000000e+00 2.390835219552262881e-04
-3.486215538847117656e+00 2.421000434171611724e-04
-3.472431077694235757e+00 2.451752107464735321e-04
-3.458646616541353414e+00 2.483105768438256485e-04
-3.444862155388471070e+00 2.515077469242335529e-04
-3.431077694235589171e+00 2.547683806645749459e-04
-3.417293233082706827e+00 2.580941944553502587e-04
-3.403508771929824483e+00 2.614869637625999010e-04
-3.389724310776942140e+00 2.649485256061843747e-04
-3.375939849624060241e+00 2.684807811610794839e-04
-3.362155388471177897e+00 2.720856984887530376e-04
-3.348370927318295553e+00 2.757653154061491963e-04
-3.334586466165413654e+00 2.795217425003233467e-04
-3.320802005012531311e+00 2.833571662972751899e-04
-3.307017543859648967e+00 2.872738525941201946e-04
-3.293233082706767068e+00 2.912741499643646602e-04
-3.279448621553884724e+00 2.953604934466670358e-04
-3.265664160401002380e+00 2.995354084282643783e-04
-3.251879699248120481e+00 3.038015147349156344e-04
-3.238095238095238138e+00 3.081615309401173849e-04
-3.224310776942355794e+00 3.126182789072093067e-04
-3.210526315789473450e+00 3.171746885789510019e-04
-3.196741854636591551e+00 3.218338030302004887e-04
-3.182957393483709208e+00 3.265987838004554130e-04
-3.169172932330827308e+00 3.314729165242071419e-04
-3.155388471177944965e+00 3.364596168784186794e-04
-3.141604010025062621e+00 3.415624368678197046e-04
-3.127819548872180277e+00 3.467850714702591891e-04
-3.114035087719298378e+00 3.521313656660755918e-04
-3.100250626566416035e+00 3.576053218771841290e-04
-3.086466165413533691e+00 3.632111078436039498e-04
-3.072681704260651792e+00 3.689530649672560650e-04
-3.058897243107769448e+00 3.748357171552071389e-04
-3.045112781954887105e+00 3.808637801970529073e-04
-3.031328320802005205e+00 3.870421717138474446e-04
-3.017543859649122862e+00 3.933760217190677023e-04
-3.003759398496240518e+00 3.998706838352701805e-04
-2.989974937343358619e+00 4.065317472137189737e-04
-2.976190476190476275e+00 4.133650492081356780e-04
-2.962406015037593932e+00 4.203766888579948176e-04
-2.948621553884711588e+00 4.275730412413622614e-04
-2.934837092731829689e+00 4.349607727624880829e-04
-2.921052631578947345e+00 4.425468574447991780e-04
-2.907268170426065446e+00 4.503385943061572892e-04
-2.893483709273183102e+00 4.583436258999076395e-04
-2.879699248120300759e+00 4.665699581125880855e-04
-2.865914786967418415e+00 4.750259813173368108e-04
-2.852130325814536516e+00 4.837204929908549907e-04
-2.838345864661654172e+00 4.926627219117214219e-04
-2.824561403508771829e+00 5.018623540685366972e-04
-2.810776942355889929e+00 5.113295604184675287e-04
-2.796992481203007586e+00 5.210750266498411550e-04
-2.783208020050125242e+00 5.311099851171421438e-04
-2.769423558897242899e+00 5.414462491328574708e-04
-2.755639097744360999e+00 5.520962498185810448e-04
-2.741854636591478656e+00 5.630730757376634088e-04
-2.728070175438596756e+00 5.743905155537578147e-04
-2.714285714285714413e+00 5.860631039842590859e-04
-2.700501253132832069e+00 5.981061713448793072e-04
-2.686716791979949726e+00 6.105358970122469735e-04
-2.672932330827067826e+00 6.233693671653403687e-04
-2.659147869674185483e+00 6.366246372047183744e-04
-2.645363408521303583e+00 6.503207992910780069e-04
-2.631578947368421240e+00 6.644780554924093093e-04
-2.617794486215538896e+00 6.791177970825836626e-04
-2.604010025062656553e+00 6.942626905944665559e-04
-2.590225563909774209e+00 7.099367712983046174e-04
-2.576441102756892310e+00 7.261655448526361774e-04
-2.562656641604009966e+00 7.429760979610335004e-04
-2.548872180451128067e+00 7.603972189655478463e-04
-2.535087719298245723e+00 7.784595294179884068e-04
-2.521303258145363380e+00 7.971956277953238645e-04
-2.507518796992481036e+00 8.166402466677009008e-04
-2.493734335839599137e+00 8.368304247892860990e-04
-2.479949874686716793e+00 8.578056957665515818e-04
-2.466165413533834894e+00 8.796082951693734659e-04
-2.452380952380952550e+00 9.022833881910704689e-04
-2.438596491228070207e+00 9.258793202399865502e-04
-2.424812030075187863e+00 9.504478931623652370e-04
-2.411027568922305520e+00 9.760446701615473715e-04
-2.397243107769423620e+00 1.002729312899672699e-03
-2.383458646616541721e+00 1.030565954754902739e-03
-2.369674185463659377e+00 1.059623614771112478e-03
-2.355889724310777034e+00 1.089976657491633499e-03
-2.342105263157894690e+00 1.121705304630601528e-03
-2.328320802005012347e+00 1.154896205424221995e-03
-2.314536340852130447e+00 1.189643073543638621e-03
-2.300751879699248104e+00 1.226047399669813812e-03
-2.286967418546366204e+00 1.264219250263534742e-03
-2.273182957393483861e+00 1.304278164752628935e-03
-2.259398496240601517e+00 1.346354165355188653e-03
-2.245614035087719174e+00 1.390588896125180898e-03
-2.231829573934837274e+00 1.437136910622721642e-03
-2.218045112781954931e+00 1.486167130970919917e-03
-2.204260651629073031e+00 1.537864505082702773e-03
-2.190476190476190688e+00 1.592431893671787668e-03
-2.176691729323308344e+00 1.650092224484274407e-03
-2.162907268170426001e+00 1.711090958231482190e-03
-2.149122807017543657e+00 1.775698919259781827e-03
-2.135338345864661758e+00 1.844215554423499692e-03
-2.121553884711779414e+00 1.916972696398168375e-03
-2.107769423558897515e+00 1.994338923374407331e-03
-2.093984962406015171e+00 2.076724626470472564e-03
-2.080200501253132828e+00 2.164587920272523919e-03
-2.066416040100250484e+00 2.258441561933745984e-03
-2.052631578947368585e+00 2.358861081896808636e-03
-2.038847117794486241e+00 2.466494376737027056e-03
-2.025062656641604342e+00 2.582073074744410581e-03
-2.011278195488721998e+00 2.706426061522216198e-03
-1.997493734335839655e+00 2.840495651237822088e-03
-1.983709273182957533e+00 2.985357016196986141e-03
-1.969924812030075190e+00 3.142241652626113352e-03
-1.956140350877193068e+00 3.312565876998942171e-03
-1.942355889724310947e+00 3.497965633031010005e-03
-1.928571428571428603e+00 3.700339269918582683e-03
-1.914786967418546482e+00 3.921900463322372521e-03
-1.901002506265664138e+00 4.165244143146076827e-03
-1.887218045112782017e+00 4.433429240267443977e-03
-1.873433583959899895e+00 4.730083376194730259e-03
-1.859649122807017552e+00 5.059536455439509785e-03
-1.845864661654135430e+00 5.426992721156857595e-03
-1.832080200501253309e+00 5.838754567967271124e-03
-1.818295739348370965e+00 6.302516842154292677e-03
-1.804511278195488844e+00 6.827758399109001668e-03
-1.790726817042606722e+00 7.426269780548847878e-03
-1.776942355889724379e+00 8.112874403111720173e-03
-1.763157894736842257e+00 8.906429626639757874e-03
-1.749373433583959914e+00 9.831240421539958960e-03
-1.735588972431077792e+00 1.091909438866444856e-02
-1.721804511278195671e+00 1.221225518615707585e-02
-1.708020050125313327e+00 1.376797494550353017e-02
-1.694235588972431206e+00 1.566549014818048938e-02
-1.680451127819548862e+00 1.801722647991526802e-02
-1.666666666666666741e+00 2.098744382294889799e-02
-1.652882205513784619e+00 2.482470629677529725e-02
-1.639097744360902276e+00 2.992162752421463970e-02
-1.625313283208020154e+00 3.693246654587187261e-02
-1.611528822055138033e+00 4.702452101720883820e-02
-1.597744360902255689e+00 6.247012677122092822e-02
-1.583959899749373568e+00 8.816271963926472499e-02
-1.570175438596491446e+00 1.350025241322103386e-01
-1.556390977443609103e+00 2.152298370319077891e-01
-1.542606516290726981e+00 3.067283461327834915e-01
-1.528822055137844638e+00 4.302763399756314167e-01
-1.515037593984962516e+00 6.753874967410825603e-01
-1.501253132832080395e+00 1.000000000000000000e+00
-1.487468671679198273e+00 8.578933880340614548e-01
-1.473684210526315930e+00 5.124478210819520818e-01
-1.459899749373433586e+00 3.150627277124337100e-01
-1.446115288220551687e+00 2.128392940104496256e-01
-1.432330827067669343e+00 1.553881264991219258e-01
-1.418546365914787000e+00 1.200939432198501050e-01
-1.404761904761905100e+00 9.655266658394148771e-02
-1.390977443609022757e+00 8.139706879615127288e-02
-1.377192982456140413e+00 6.825703222906423506e-02
-1.363408521303258070e+00 5.715384643242013563e-02
-1.349624060150376170e+00 5.671286318098898993e-02
-1.335839598997493827e+00 5.696791343563023524e-02
-1.322055137844611483e+00 4.287437463570256679e-02
-1.308270676691729584e+00 3.219347017799937399e-02
-1.294486215538847240e+00 2.867151773329978254e-02
-1.280701754385964897e+00 3.002953798555188514e-02
-1.266917293233082997e+00 3.534435363326057095e-02
-1.253132832080200654e+00 4.500331110648392308e-02
-1.239348370927318310e+00 5.521467919061553986e-02
-1.225563909774436411e+00 6.790999581847069477e-02
-1.211779448621554067e+00 8.418557574095771046e-02
-1.197994987468671724e+00 1.068232739066706793e-01
-1.184210526315789380e+00 1.403294624469185459e-01
-1.170426065162907481e+00 1.943620904856735443e-01
-1.156641604010025137e+00 2.902898175341477316e-01
-1.142857142857142794e+00 4.739576532677756138e-01
-1.129072681704260894e+00 7.650733788057729745e-01
-1.115288220551378551e+00 7.913668012069274837e-01
-1.101503759398496207e+00 5.036043872041503500e-01
-1.087719298245614308e+00 3.099612777539387243e-01
-1.073934837092731964e+00 2.092082461584501563e-01
-1.060150375939849621e+00 1.533721306084028235e-01
-1.046365914786967721e+00 1.195570390399033761e-01
-1.032581453634085378e+00 9.752477817362463497e-02
-1.018796992481203034e+00 8.244473171850587312e-02
-1.005012531328321135e+00 7.164407158393915065e-02
-9.912280701754387913e-01 6.318346121341314459e-02
-9.774436090225564477e-01 5.763016499443732871e-02
-9.636591478696745483e-01 5.240855320007002660e-02
-9.498746867167922048e-01 4.912346701598254567e-02
-9.360902255639098613e-01 4.594129641657014596e-02
-9.223057644110275177e-01 4.386372628898893566e-02
-9.085213032581456183e-01 4.156002480200286786e-02
-8.947368421052632748e-01 3.966355553844708864e-02
-8.809523809523809312e-01 3.622837538897163284e-02
-8.671679197994990318e-01 2.954715088328521005e-02
-8.533834586466166883e-01 1.979680972709376915e-02
-8.395989974937343447e-01 1.425090842803570026e-02
-8.258145363408524453e-01 1.125142893141002978e-02
-8.120300751879701018e-01 9.411962773558161383e-03
-7.982456140350877583e-01 8.155088224041482856e-03
-7.844611528822058588e-01 7.228344567371351552e-03
-7.706766917293235153e-01 6.508027357637932719e-03
-7.568922305764411718e-01 5.926910797523304852e-03
-7.431077694235588282e-01 5.445227734141419931e-03
-7.293233082706769288e-01 5.037791717064380760e-03
-7.155388471177945853e-01 4.687748369245518971e-03
-7.017543859649122417e-01 4.383304012435709773e-03
-6.879699248120303423e-01 4.115899362499387398e-03
-6.741854636591479988e-01 3.879132837899411292e-03
-6.604010025062656553e-01 3.668095535844156062e-03
-6.466165413533837558e-01 3.478943684988970893e-03
-6.328320802005014123e-01 3.308614073464148046e-03
-6.190476190476190688e-01 3.154628837986391682e-03
-6.052631578947371693e-01 3.014957975210521245e-03
-5.914786967418548258e-01 2.887920242317486806e-03
-5.776942355889724823e-01 2.772110261013683696e-03
-5.639097744360905828e-01 2.666343927918567776e-03
-5.501253132832082393e-01 2.569616884591275924e-03
-5.363408521303258958e-01 2.481072482252481403e-03
-5.225563909774439963e-01 2.399976769553296800e-03
-5.087719298245616528e-01 2.325698758296685601e-03
-4.949874686716793093e-01 2.257694714721969302e-03
-4.812030075187969658e-01 2.195495564404758605e-03
-4.674185463659150663e-01 2.138696738216185923e-03
-4.536340852130327228e-01 2.086949957947093880e-03
-4.398496240601503793e-01 2.039956584580230898e-03
-4.260651629072684798e-01 1.997462244059955167e-03
-4.122807017543861363e-01 1.959252514439807896e-03
-3.984962406015037928e-01 1.925149511164056309e-03
-3.847117794486218934e-01 1.895009248668128640e-03
-3.709273182957395498e-01 1.868719689866836422e-03
-3.571428571428572063e-01 1.846199422974083900e-03
-3.433583959899753069e-01 1.827396929442370085e-03
-3.295739348370929633e-01 1.812290429265228436e-03
-3.157894736842106198e-01 1.800888311929417463e-03
-3.020050125313282763e-01 1.793230184404067578e-03
-2.882205513784463768e-01 1.789388593324642285e-03
-2.744360902255640333e-01 1.789471508910489214e-03
-2.606516290726816898e-01 1.793625695650548097e-03
-2.468671679197997904e-01 1.802041142809507161e-03
-2.330827067669174468e-01 1.814956791162041427e-03
-2.192982456140351033e-01 1.832667878065685329e-03
-2.055137844611532039e-01 1.855535341491593637e-03
-1.917293233082708603e-01 1.883997890903244942e-03
-1.779448621553885168e-01 1.918587593793756162e-03
-1.641604010025066174e-01 1.959950180968248433e-03
-1.503759398496242738e-01 2.008871806166160050e-03
-1.365914786967419303e-01 2.066314815128321696e-03
-1.228070175438600309e-01 2.133466373242567590e-03
-1.090225563909776874e-01 2.211805902758310228e-03
-9.523809523809534383e-02 2.303200802952293669e-03
-8.145363408521344439e-02 2.410046038544479130e-03
-6.766917293233110087e-02 2.535474207612839048e-03
-5.388471177944875734e-02 2.683683481239203077e-03
-4.010025062656641381e-02 2.860471962828554579e-03
-2.631578947368451438e-02 3.074153249465191601e-03
-1.253132832080217085e-02 3.337220697843900838e-03
1.253132832080172676e-03 3.669591540928310650e-03
1.503759398496207211e-02 4.105474125253322053e-03
2.882205513784441564e-02 4.709362923722512466e-03
4.260651629072675917e-02 5.617259473646434020e-03
5.639097744360865860e-02 7.148799141917887116e-03
7.017543859649100213e-02 1.000734071846637839e-02
8.395989974937334566e-02 1.416375739557835210e-02
9.774436090225524509e-02 1.631458964730650094e-02
1.115288220551375886e-01 1.653449771737387428e-02
1.253132832080199321e-01 1.729389741448959794e-02
1.390977443609022757e-01 1.883226911453445701e-02
1.528822055137841751e-01 2.010551676870419441e-02
1.666666666666665186e-01 2.225876776480536709e-02
1.804511278195488622e-01 2.582036949486419403e-02
1.942355889724307616e-01 3.127278530537831724e-02
2.080200501253131051e-01 3.962433819859043777e-02
2.218045112781954487e-01 5.203521828615235295e-02
2.355889724310773481e-01 7.304882255763994747e-02
2.493734335839596916e-01 1.108349783804545574e-01
2.631578947368420351e-01 1.498796183263924053e-01
2.769423558897239346e-01 1.279799313267108718e-01
2.907268170426062781e-01 9.553556645791803914e-02
3.045112781954886216e-01 8.635028416504994531e-02
3.182957393483705211e-01 1.044712826948328288e-01
3.320802005012528646e-01 1.460667762668463876e-01
3.458646616541352081e-01 2.173458060886319376e-01
3.596491228070171076e-01 2.228834151698923793e-01
3.734335839598994511e-01 1.476412282337952186e-01
3.872180451127817946e-01 9.548228913640949278e-02
4.010025062656641381e-01 6.717839608831595311e-02
