beta0,control_gamma_pt_zero,omega,rho_min_eigenvalue,rho_max_eigenvalue,rho_trace,resolvent_sandwich_identity_error
0.5,0,-0.4,0.03650342731465486,0.40153770046120385,0.4380411277758587,9.891063528452561e-18
0.5,0,-0.399,0.03667143463272567,0.4033857809599826,0.4400572155927083,1.3933078417899496e-17
0.5,0,-0.398,0.0368405692210586,0.40524626143164466,0.44208683065270327,1.62258917623712e-17
0.5,0,-0.397,0.037010840849466084,0.40711924934412713,0.4441300901935932,2.7837687832676883e-17
0.5,0,-0.396,0.03718225938975218,0.4090048532872743,0.4461871126770265,1.6000247273303932e-17
0.5,0,-0.395,0.037354834816933004,0.4109031829862635,0.4482580178031965,1.4051654742052822e-17
0.5,0,-0.394,0.03752857721047307,0.412814349315204,0.4503429265256771,7.165460163354166e-18
0.5,0,-0.393,0.03770349675553784,0.41473846431091654,0.4524419610664544,2.894743500938256e-17
0.5,0,-0.392,0.03787960374426297,0.4166756411868927,0.4545552449311557,6.125239034611214e-17
0.5,0,-0.391,0.038056908577039895,0.4186259943474391,0.456682902924479,5.583045676849117e-17
0.5,0,-0.39,0.03823542176381868,0.4205896394020057,0.4588250611658244,1.234252677343131e-17
0.5,0,-0.389,0.03841515392542774,0.4225666931797053,0.46098184710513307,1.846320608589368e-17
0.5,0,-0.388,0.038596115794911054,0.4245572737440219,0.463153389538933,6.17802069832084e-17
0.5,0,-0.387,0.03877831821888304,0.4265615004077137,0.46533981862659674,1.389291106571227e-17
0.5,0,-0.386,0.03896177215890115,0.4285794937479127,0.4675412659068139,2.902435189670075e-17
0.5,0,-0.385,0.03914648869285664,0.4306113756214231,0.46975786431427974,1.1633391631155752e-16
0.5,0,-0.384,0.03933247901638377,0.4326572691802216,0.4719897481966054,5.572250140569133e-17
0.5,0,-0.383,0.03951975444428738,0.4347172988871615,0.47423705333144883,2.7755673519163734e-17
0.5,0,-0.382,0.03970832641198954,0.43679159053188504,0.4764999169438746,1.5218618587281636e-17
0.5,0,-0.381,0.03989820647699508,0.43888027124694595,0.478778477723941,4.1665578875225816e-17
0.5,0,-0.38,0.040089406320376664,0.44098346952414325,0.4810728758445199,2.4099148390418623e-17
0.5,0,-0.379,0.0402819377482793,0.4431013152310726,0.4833832529793519,2.9880849020174814e-17
0.5,0,-0.378,0.04047581269344505,0.4452339396278958,0.48570975232134084,1.1216668750846212e-16
0.5,0,-0.377,0.04067104321675734,0.44738147538433093,0.4880525186010883,1.48386682353715e-17
0.5,0,-0.376,0.04086764150880631,0.44954405659686947,0.49041169810567575,1.3917789761229125e-17
0.5,0,-0.375,0.04106561989147435,0.45172181880621803,0.49278743869769237,5.564157175034976e-17
0.5,0,-0.374,0.04126499081954296,0.45391489901497284,0.4951798898345158,5.565404291197827e-17
0.5,0,-0.373,0.04146576688232067,0.4561234357055276,0.4975892025878483,5.316636287872918e-18
0.5,0,-0.372,0.0416679608052925,0.4583475688582179,0.5000155296635104,1.1201748489003967e-16
0.5,0,-0.371,0.04187158545179135,0.4605874399697053,0.5024590254214967,4.240903979242546e-17
0.5,0,-0.37,0.04207665382469142,0.4628431920716059,0.5049198458962973,1.1440547277470678e-16
0.5,0,-0.369,0.04228317906812395,0.4651149697493637,0.5073981488174877,1.244733714940724e-17
0.5,0,-0.368,0.042491174469215964,0.46740291916137566,0.5098940936305916,5.574183966242488e-17
0.5,0,-0.367,0.04270065345985158,0.4697071880583674,0.512407841518219,2.925634190825386e-17
0.5,0,-0.366,0.042911629618457035,0.47202792580302755,0.5149395554214846,2.776342264718451e-17
0.5,0,-0.365,0.04312411667180903,0.4743652833898998,0.5174894000617088,4.9472197140194965e-18
0.5,0,-0.364,0.043338128496867245,0.47671941346554003,0.5200575419624073,1.110240060856458e-16
0.5,0,-0.36300000000000004,0.043553679122630716,0.47909047034893815,0.5226441494715689,6.107035718461809e-17
0.5,0,-0.36200000000000004,0.04377078273201925,0.48147861005221204,0.5252493927842313,5.551544041908658e-17
0.5,0,-0.36100000000000004,0.04398945366377937,0.4838839903015729,0.5278734439653523,3.588180710576834e-17
0.5,0,-0.36000000000000004,0.04420970641441535,0.486306770558569,0.5305164769729844,1.166107462162059e-16
0.5,0,-0.35900000000000004,0.04443155564014636,0.48874711204161014,0.5331786676817565,6.401417405404424e-17
0.5,0,-0.35800000000000004,0.04465501615888871,0.491205177747776,0.5358601939066647,9.823575183408073e-18
0.5,0,-0.35700000000000004,0.04488010295226483,0.4936811324749129,0.5385612354271777,2.938605639812641e-17
0.5,0,-0.35600000000000004,0.04510683116763834,0.4961751428440223,0.5412819740116607,3.0792410491114583e-17
0.5,0,-0.35500000000000004,0.045335216120176665,0.4986873773219438,0.5440225934421205,2.5234864470912678e-17
0.5,0,-0.35400000000000004,0.04556527329493979,0.5012180062443381,0.5467832795392779,2.3844878833026186e-17
0.5,0,-0.35300000000000004,0.045797018348997624,0.5037672018389739,0.5495642201879716,5.566032746525283e-17
0.5,0,-0.35200000000000004,0.04603046711357451,0.50633513824932,0.5523656053628945,2.8071891752324744e-17
0.5,0,-0.35100000000000003,0.046265635596222515,0.5089219915584475,0.5551876271546701,2.8273333692892836e-17
0.5,0,-0.35000000000000003,0.0465025399830227,0.5115279398132501,0.5580304797962727,1.1394672087868027e-16
0.5,0,-0.34900000000000003,0.04674119664081622,0.5141531630489785,0.5608943596897947,5.557068265405366e-17
0.5,0,-0.34800000000000003,0.04698162211946369,0.516797843314101,0.5637794654335647,6.389404629026917e-17
0.5,0,-0.34700000000000003,0.04722383315413519,0.5194621646954873,0.5666859978496226,1.4057070132981017e-17
0.5,0,-0.34600000000000003,0.047467846667629585,0.5221463133439256,0.5696141600115552,1.3896880309020053e-17
0.5,0,-0.34500000000000003,0.04771367977272481,0.5248504774999734,0.5725641572726982,5.788067084005413e-17
0.5,0,-0.34400000000000003,0.0479613497745586,0.5275748475201449,0.5755361972947035,2.792591471097648e-17
0.5,0,-0.343,0.048210874173040395,0.5303196159034443,0.5785304900764847,6.151964979923085e-17
0.5,0,-0.342,0.048462270665294974,0.5330849773182451,0.5815472479835401,3.841400027875115e-17
0.5,0,-0.341,0.0487155571481379,0.5358711286295171,0.584586685777655,5.553016883226993e-17
0.5,0,-0.34,0.048970751720583176,0.5386782689264148,0.587649020646998,4.1633719001522143e-17
0.5,0,-0.339,0.04922787268638356,0.5415065995502195,0.590734472236603,1.3026789272855231e-17
0.5,0,-0.338,0.04948693855660437,0.5443563241226481,0.5938432626792525,1.1102995444807217e-16
0.5,0,-0.337,0.04974796805222992,0.5472276485745293,0.5969756166267592,1.1103403217884555e-16
0.5,0,-0.336,0.05001098010680471,0.5501207811748519,0.6001317612816565,3.5277259290122287e-17
0.5,0,-0.335,0.050275993869108075,0.553035932560189,0.6033119264292971,5.576251172898383e-17
