beta0,control_gamma_pt_zero,threshold,max_step,threshold_reached,operational_RG_scale,log_scale_at_stop,gmax_at_stop,exchange_trace_real_at_stop,exchange_00_real_at_stop,exchange_00_imag_at_stop,exchange_01_real_at_stop,exchange_01_imag_at_stop,exchange_10_real_at_stop,exchange_10_imag_at_stop,exchange_11_real_at_stop,exchange_11_imag_at_stop,exchange_hermiticity_error,g_hermiticity_error,solver_function_evaluations,solver_status
0.35,0,0.2,0.02,1,0.2588602950915047,1.1099022887323675,0.19999999999999998,0.5451572692475184,0.2568594988990041,0.0,0.0,-6.0763133538574616e-21,0.0,6.0763133538574616e-21,0.2882977703485143,0.0,0.0,0.0,338,1
0.35,0,0.2,0.01,1,0.25886029509181396,1.109902288731173,0.20000000000000007,0.5451572692484132,0.2568594988993947,0.0,0.0,-4.515471612653652e-20,0.0,4.515471612653652e-20,0.28829777034901855,0.0,0.0,0.0,668,1
0.35,0,0.2,0.005,1,0.25886029509181413,1.1099022887311722,0.20000000000000004,0.5451572692484139,0.2568594988993951,0.0,0.0,7.068254635684755e-20,0.0,-7.068254635684755e-20,0.28829777034901877,0.0,0.0,0.0,1334,1
0.35,0,0.25,0.02,1,0.22934589178516315,1.2309594952546061,0.24999999999999992,0.5677646897848728,0.263387489558232,0.0,0.0,-8.56226189608165e-20,0.0,8.56226189608165e-20,0.30437720022664083,0.0,0.0,0.0,374,1
0.35,0,0.25,0.01,1,0.22934589178538461,1.2309594952536405,0.24999999999999997,0.5677646897855688,0.2633874895585395,0.0,0.0,-5.9352200506082e-20,0.0,5.9352200506082e-20,0.3043772002270293,0.0,0.0,0.0,746,1
0.35,0,0.25,0.005,1,0.22934589178537468,1.2309594952536838,0.25000000000000006,0.5677646897855392,0.2633874895585272,0.0,0.0,2.4764110484815867e-20,0.0,-2.4764110484815867e-20,0.304377200227012,0.0,0.0,0.0,1484,1
0.35,0,0.3,0.02,1,0.20727353172921753,1.3321514734193285,0.30000000000000004,0.5925529775850282,0.27079856519168394,0.0,0.0,-3.2923617659621496e-20,0.0,3.2923617659621496e-20,0.32175441239334435,0.0,0.0,0.0,404,1
0.35,0,0.3,0.01,1,0.20727353172931184,1.3321514734188735,0.30000000000000004,0.5925529775853069,0.2707985651917897,0.0,0.0,-8.081005083449887e-20,0.0,8.081005083449887e-20,0.3217544123935172,0.0,0.0,0.0,806,1
0.35,0,0.3,0.005,1,0.20727353172926966,1.3321514734190771,0.30000000000000004,0.5925529775851738,0.27079856519173395,0.0,0.0,1.8776612594075088e-20,0.0,-1.8776612594075088e-20,0.3217544123934398,0.0,0.0,0.0,1604,1
0.35,0,0.4,0.02,1,0.1758019684814,1.4968326212456708,0.39999999999999986,0.6493444012552739,0.28852265714597575,0.0,0.0,2.1226312049276172e-19,0.0,-2.1226312049276172e-19,0.3608217441092982,0.0,0.0,0.0,458,1
