beta0,control_gamma_pt_zero,threshold,coarse_max_step,fine_max_step,absolute_scale_drift,relative_scale_drift
0.35,0,0.3,0.02,0.005,5.21249710061511e-14,2.514791472470018e-13
0.35,0,0.5,0.02,0.005,2.42861286636753e-12,1.5763045026161925e-11
0.35,0,0.75,0.02,0.005,4.832856337344538e-12,3.9930960379743436e-11
0.35,0,1.0,0.02,0.005,1.92539040266837e-11,1.8609127822549127e-10
0.35,1,0.3,0.02,0.005,2.2010171463193728e-13,1.1268471645539363e-12
0.35,1,0.5,0.02,0.005,7.512324096126122e-12,4.9292325019825726e-11
0.35,1,0.75,0.02,0.005,2.7999672025380562e-11,2.2432989701312332e-10
0.35,1,1.0,0.02,0.005,2.4903093476247307e-11,2.2725305242252155e-10
0.4,0,0.3,0.02,0.005,1.532107773982716e-13,7.332762716473596e-13
0.4,0,0.5,0.02,0.005,2.0743962103608737e-12,1.3432551321883212e-11
0.4,0,0.75,0.02,0.005,6.500355809180292e-14,5.382294755220014e-13
0.4,0,1.0,0.02,0.005,6.702832733296304e-13,6.513442754068327e-12
0.4,1,0.3,0.02,0.005,3.13915560212763e-14,1.5946170556005277e-13
0.4,1,0.5,0.02,0.005,9.131584377541913e-13,5.9423251190887e-12
0.4,1,0.75,0.02,0.005,7.955303082951559e-13,6.327791230294412e-12
0.4,1,1.0,0.02,0.005,1.5727835700474202e-11,1.4266165609856793e-10
0.45,0,0.3,0.02,0.005,1.5563939026463913e-12,7.40120288211603e-12
0.45,0,0.5,0.02,0.005,1.1143586053918852e-12,7.208004771221589e-12
0.45,0,0.75,0.02,0.005,6.100286942256616e-12,5.0615138683603946e-11
0.45,0,1.0,0.02,0.005,4.7820469806225674e-11,4.666188402575019e-10
0.45,1,0.3,0.02,0.005,1.2736478538499796e-12,6.419001404352911e-12
0.45,1,0.5,0.02,0.005,1.964345353044905e-12,1.2676783051998883e-11
0.45,1,0.75,0.02,0.005,3.837097306558235e-12,3.0301289204371736e-11
0.45,1,1.0,0.02,0.005,7.186928829838735e-11,6.480276217439853e-10
0.48,0,0.3,0.02,0.005,5.463685059936552e-13,2.590024416527056e-12
0.48,0,0.5,0.02,0.005,1.030009411095989e-12,6.661737317653224e-12
0.48,0,0.75,0.02,0.005,1.2138318128407377e-11,1.0082547261813962e-10
0.48,0,1.0,0.02,0.005,5.975746286690509e-11,5.840402922024218e-10
0.48,1,0.3,0.02,0.005,3.469169396197458e-13,1.7401080445223236e-12
0.48,1,0.5,0.02,0.005,7.589429085186339e-12,4.8732465894341905e-11
0.48,1,0.75,0.02,0.005,2.3668650372954403e-11,1.8610244443249862e-10
0.48,1,1.0,0.02,0.005,1.3330406223310831e-11,1.1977259695359236e-10
0.49,0,0.3,0.02,0.005,1.9187429423084268e-13,9.087214781751587e-13
0.49,0,0.5,0.02,0.005,1.1025347301796273e-12,7.131208695309784e-12
0.49,0,0.75,0.02,0.005,1.3910983476250749e-11,1.1558927382890897e-10
0.49,0,1.0,0.02,0.005,6.049535872243439e-11,5.914735445410447e-10
0.49,1,0.3,0.02,0.005,8.794076578055865e-13,4.4040264367817186e-12
0.49,1,0.5,0.02,0.005,5.743155950810319e-12,3.681552190014721e-11
0.49,1,0.75,0.02,0.005,2.7954832892973513e-11,2.1948737362473817e-10
0.49,1,1.0,0.02,0.005,8.004708007547379e-14,7.18374024980276e-13
0.495,0,0.3,0.02,0.005,6.57529586334249e-14,3.1126950219515313e-13
0.495,0,0.5,0.02,0.005,1.1567413693569506e-12,7.482154667841318e-12
0.495,0,0.75,0.02,0.005,1.473156319153901e-11,1.2242780739810664e-10
0.495,0,1.0,0.02,0.005,6.056678769628121e-11,5.922638879939514e-10
0.495,1,0.3,0.02,0.005,1.0751677326226172e-12,5.3800961022026905e-12
0.495,1,0.5,0.02,0.005,4.218236870912051e-12,2.7017587121494095e-11
0.495,1,0.75,0.02,0.005,2.8125501927434016e-11,2.2066837080746177e-10
0.495,1,1.0,0.02,0.005,1.045413755562663e-12,9.376472000661218e-12
0.5,0,0.3,0.02,0.005,1.0130785099704553e-14,4.7937774195525264e-14
0.5,0,0.5,0.02,0.005,1.222077994356141e-12,7.905215506547468e-12
0.5,0,0.75,0.02,0.005,1.5506193551395597e-11,1.2888618278782877e-10
0.5,0,1.0,0.02,0.005,6.0517410527261e-11,5.918602716090072e-10
0.5,1,0.3,0.02,0.005,1.178696029668913e-12,5.8934491603690596e-12
0.5,1,0.5,0.02,0.005,2.5305313400281193e-12,1.619430714972429e-11
0.5,1,0.75,0.02,0.005,2.686389999340122e-11,2.1061831380084835e-10
0.5,1,1.0,0.02,0.005,4.322361912834083e-12,3.874528972980474e-11
0.52,0,0.3,0.02,0.005,2.0389245847241e-13,9.632778157753726e-13
0.52,0,0.5,0.02,0.005,1.5802914532514478e-12,1.0225808104850755e-11
0.52,0,0.75,0.02,0.005,1.814014216616755e-11,1.5087104717679844e-10
0.52,0,1.0,0.02,0.005,5.995294538596596e-11,5.865280918071189e-10
0.52,1,0.3,0.02,0.005,5.020706073111114e-13,2.5023377535694773e-12
0.52,1,0.5,0.02,0.005,9.388601007742636e-13,5.9881118385178816e-12
0.52,1,0.75,0.02,0.005,1.0489692447990251e-11,8.200492298354432e-11
0.52,1,1.0,0.02,0.005,2.5073845777434656e-11,2.2423793511593101e-10
0.55,0,0.3,0.02,0.005,7.069067553544528e-13,3.333254587884963e-12
0.55,0,0.5,0.02,0.005,2.2533086507792177e-12,1.459297664270313e-11
0.55,0,0.75,0.02,0.005,2.081328165370877e-11,1.7324517950336635e-10
0.55,0,1.0,0.02,0.005,6.012809694588839e-11,5.881570690598836e-10
0.55,1,0.3,0.02,0.005,1.7474632851843808e-12,8.667680153475215e-12
0.55,1,0.5,0.02,0.005,3.122641034636331e-12,1.981588041480765e-11
0.55,1,0.75,0.02,0.005,5.688421955696299e-12,4.427899320566897e-11
0.55,1,1.0,0.02,0.005,2.0445867221496883e-11,1.8221850744195088e-10
