beta0,control_gamma_pt_zero,pole_index,pole_real,pole_halfwidth,coherent_channel,relative_rate_channel
0.35,0,0,-0.06046693311223913,0.12,0.0925,0.06999999999999999
0.35,0,1,0.06046693311223913,0.12,0.0925,0.06999999999999999
0.35,1,0,-0.0925,0.12,0.0925,0.0
0.35,1,1,0.0925,0.12,0.0925,0.0
0.3525,0,0,-0.060076123584998406,0.12,0.092625,0.0705
0.3525,0,1,0.060076123584998406,0.12,0.092625,0.0705
0.3525,1,0,-0.092625,0.12,0.092625,0.0
0.3525,1,1,0.092625,0.12,0.092625,0.0
0.355,0,0,-0.0596788279040398,0.12,0.09275,0.071
0.355,0,1,0.0596788279040398,0.12,0.09275,0.071
0.355,1,0,-0.09275,0.12,0.09275,0.0
0.355,1,1,0.09275,0.12,0.09275,0.0
0.3575,0,0,-0.05927491564734615,0.12,0.092875,0.0715
0.3575,0,1,0.05927491564734615,0.12,0.092875,0.0715
0.3575,1,0,-0.092875,0.12,0.092875,0.0
0.3575,1,1,0.092875,0.12,0.092875,0.0
0.36,0,0,-0.05886425061104576,0.12,0.093,0.072
0.36,0,1,0.05886425061104576,0.12,0.093,0.072
0.36,1,0,-0.093,0.12,0.093,0.0
0.36,1,1,0.093,0.12,0.093,0.0
0.3625,0,0,-0.05844669045378019,0.12,0.093125,0.0725
0.3625,0,1,0.05844669045378019,0.12,0.093125,0.0725
0.3625,1,0,-0.093125,0.12,0.093125,0.0
0.3625,1,1,0.093125,0.12,0.093125,0.0
0.365,0,0,-0.058022086312024324,0.12,0.09325,0.073
0.365,0,1,0.058022086312024324,0.12,0.09325,0.073
0.365,1,0,-0.09325,0.12,0.09325,0.0
0.365,1,1,0.09325,0.12,0.09325,0.0
0.3675,0,0,-0.05759028238340216,0.12,0.093375,0.0735
0.3675,0,1,0.05759028238340216,0.12,0.093375,0.0735
0.3675,1,0,-0.093375,0.12,0.093375,0.0
0.3675,1,1,0.093375,0.12,0.093375,0.0
0.37,0,0,-0.05715111547467819,0.12,0.0935,0.074
0.37,0,1,0.05715111547467819,0.12,0.0935,0.074
0.37,1,0,-0.0935,0.12,0.0935,0.0
0.37,1,1,0.0935,0.12,0.0935,0.0
0.3725,0,0,-0.056704414510688674,0.12,0.093625,0.0745
0.3725,0,1,0.056704414510688674,0.12,0.093625,0.0745
0.3725,1,0,-0.093625,0.12,0.093625,0.0
0.3725,1,1,0.093625,0.12,0.093625,0.0
0.375,0,0,-0.05624999999999999,0.12,0.09375,0.07500000000000001
0.375,0,1,0.05624999999999999,0.12,0.09375,0.07500000000000001
0.375,1,0,-0.09375,0.12,0.09375,0.0
0.375,1,1,0.09375,0.12,0.09375,0.0
