solution_beta0,r,delta_c,k_probe,lambda_k,classification,beta0,minimum_gap,condition_number,at_search_boundary,passive_at_reported_beta
0.35,0.010468828715785698,1.0000001935984664,0.0,0.0,exact_k0_double_root,0.4999999999999999,3.479019532141399e-12,6300655.158879096,0,1
0.35,0.010468828715785698,1.0000001935984664,0.05,0.025,finite_k_boundary_minimum,0.5499999894309674,0.0005028340760891746,1.0485723011719505,1,1
0.35,0.010468828715785698,1.0000001935984664,0.1,0.05,finite_k_boundary_minimum,0.5499999894309674,0.0002495644760775843,1.1009579795075484,1,1
0.35,0.010468828715785698,1.0000001935984664,0.15,0.075,finite_k_boundary_minimum,0.5499999894309674,0.0001682056495972913,1.15331455493765,1,1
0.35,0.010468828715785698,1.0000001935984664,0.2,0.1,finite_k_boundary_minimum,0.5499999894309674,0.00013172382955229414,1.1994255265740792,1,1
0.4,0.01025735315097868,1.0000001645096859,0.0,0.0,exact_k0_double_root,0.4999999999999999,5.470226032960343e-12,3846888.1348872683,0,1
0.4,0.01025735315097868,1.0000001645096859,0.05,0.025,finite_k_boundary_minimum,0.5499999894309674,0.0004829312346740719,1.0485714240958097,1,1
0.4,0.01025735315097868,1.0000001645096859,0.1,0.05,finite_k_boundary_minimum,0.5499999894309674,0.00023961425132591128,1.1009568372145109,1,1
0.4,0.01025735315097868,1.0000001645096859,0.15,0.075,finite_k_boundary_minimum,0.5499999894309674,0.00016149041769199075,1.1533125733129381,1,1
0.4,0.01025735315097868,1.0000001645096859,0.2,0.1,finite_k_boundary_minimum,0.5499999894309674,0.00012646309936863178,1.1994223461065674,1,1
0.45,0.01003546481470414,1.0000001396944591,0.0,0.0,exact_k0_double_root,0.4999999999999999,4.25004289022025e-12,4739407.027420871,0,1
0.45,0.01003546481470414,1.0000001396944591,0.05,0.025,finite_k_boundary_minimum,0.5499999894309674,0.0004624674250405969,1.048570542901941,1,1
0.45,0.01003546481470414,1.0000001396944591,0.1,0.05,finite_k_boundary_minimum,0.5499999894309674,0.00022938973641039323,1.1009556709267436,1,1
0.45,0.01003546481470414,1.0000001396944591,0.15,0.075,finite_k_boundary_minimum,0.5499999894309674,0.00015459083087562147,1.153310546641951,1,1
0.45,0.01003546481470414,1.0000001396944591,0.2,0.1,finite_k_boundary_minimum,0.5499999894309674,0.0001210581128267947,1.1994190915679657,1,1
0.5,0.009807411733055882,1.0000001191596621,0.0,0.0,exact_k0_double_root,0.4999999999999999,4.457819634479387e-12,4315459.947148527,0,1
0.5,0.009807411733055882,1.0000001191596621,0.05,0.025,finite_k_boundary_minimum,0.5499999894309674,0.000441883374292362,1.0485696772428965,1,1
0.5,0.009807411733055882,1.0000001191596621,0.1,0.05,finite_k_boundary_minimum,0.5499999894309674,0.0002191114507602552,1.100954505418076,1,1
0.5,0.009807411733055882,1.0000001191596621,0.15,0.075,finite_k_boundary_minimum,0.5499999894309674,0.00014765573484763295,1.1533085178200104,1,1
0.5,0.009807411733055882,1.0000001191596621,0.2,0.1,finite_k_boundary_minimum,0.5499999894309674,0.00011562548079631555,1.1994158318961379,1,1
0.55,0.009551970257228173,1.0000000994407714,0.0,0.0,exact_k0_double_root,0.4999999999999999,3.3116005969018957e-12,5510217.446247872,0,1
0.55,0.009551970257228173,1.0000000994407714,0.05,0.025,finite_k_boundary_minimum,0.5499999894309674,0.0004193683210232135,1.0485687531506416,1,1
0.55,0.009551970257228173,1.0000000994407714,0.1,0.05,finite_k_boundary_minimum,0.5499999894309674,0.00020787620218557282,1.100953237080268,1,1
0.55,0.009551970257228173,1.0000000994407714,0.15,0.075,finite_k_boundary_minimum,0.5499999894309674,0.00014007583525923724,1.1533063060041748,1,1
0.55,0.009551970257228173,1.0000000994407714,0.2,0.1,finite_k_boundary_minimum,0.5499999894309674,0.00010968793700776387,1.1994122767067505,1,1
