beta0,temperature,r_probe,delta_c_constraint_projected,stationarity_divided_residual,constraint_residual
0.35,0.1,0.002,1.0652383162814396,0.5229727696325803,1.0697904784251477e-09
0.35,0.1,0.0036937523489595147,1.021807514838337,0.6715366568312565,-5.20489129574031e-09
0.35,0.1,0.006821903207721965,1.0071416560758724,0.7534935102066429,-6.848367317680015e-09
0.35,0.1,0.012599210498948734,1.0012312574327011,0.7030737821949602,-1.4661692782080848e-07
0.35,0.1,0.02326918168776363,1.000428426607221,0.7096895787662532,-2.1440738073863486e-11
0.35,0.1,0.04297529725877131,1.000389360271053,0.7090648951556981,-1.3624129935330132e-08
0.35,0.1,0.07937005259841,1.0012439348475466,0.7101556521498453,4.213157600574391e-09
0.35,0.1,0.14658665911120855,1.0042758131832714,0.713967367000194,4.391711438955781e-10
0.35,0.1,0.2707274082090771,1.0151049525337918,0.7276639045130672,-1.4147440885459162e-08
0.35,0.1,0.5,1.0588247468688428,0.7837654823895868,-2.181521630006955e-11
0.4,0.1,0.002,1.060049586606655,1.2075489686630831,-6.035722749597738e-06
0.4,0.1,0.0036937523489595147,1.020459970379897,1.103002982320742,2.345796534797273e-08
0.4,0.1,0.006821903207721965,1.0070981561825856,0.7385297412973659,3.7421415299832006e-08
0.4,0.1,0.012599210498948734,1.0012081437556406,0.7019611568559122,-2.8865844936554197e-08
0.4,0.1,0.02326918168776363,1.0003946974247928,0.7092483175832989,3.9799497031367537e-11
0.4,0.1,0.04297529725877131,1.000385722883237,0.7090867361030719,1.4892745481276393e-08
0.4,0.1,0.07937005259841,1.001243733294924,0.7101865291768283,1.5021139887494428e-10
0.4,0.1,0.14658665911120855,1.0042756589417334,0.7140755886846493,-6.74300948411144e-10
0.4,0.1,0.2707274082090771,1.0151029945318248,0.7280122075596858,2.8772273452659647e-09
0.4,0.1,0.5,1.0587496911519447,0.7846411021190689,-1.0168199615634421e-11
0.45,0.1,0.002,1.0568981955839094,2.1257053576179996,2.8976320454177085e-08
0.45,0.1,0.0036937523489595147,1.0126106656624976,0.51729765020446,-3.6384093837771303e-07
0.45,0.1,0.006821903207721965,1.0042775502455912,0.7523722556962842,6.4651399789283914e-09
0.45,0.1,0.012599210498948734,1.0011905818713607,0.7010096061089126,-1.3224963235636267e-07
0.45,0.1,0.02326918168776363,1.0003688234373267,0.708872336290986,1.0305298392410123e-08
0.45,0.1,0.04297529725877131,1.0003842225057886,0.7091060510884234,4.407018305840893e-09
0.45,0.1,0.07937005259841,1.0012433578098494,0.710223010016706,-1.3175792124009433e-08
0.45,0.1,0.14658665911120855,1.0042755613541923,0.7142037103849008,-1.5914739748268403e-08
0.45,0.1,0.2707274082090771,1.0151005254858008,0.7284238427471513,-2.318071290474677e-10
0.45,0.1,0.5,1.0586610473731182,0.7856772297698238,-1.3981704682919371e-11
0.5,0.1,0.002,1.0535432987742854,2.09004183946519,4.960242592222386e-07
0.5,0.1,0.0036937523489595147,1.0171912987245568,1.0584102813028546,3.461426278938973e-08
0.5,0.1,0.006821903207721965,1.004139350205297,0.7510032962107809,-2.1410745287830935e-08
0.5,0.1,0.012599210498948734,1.0011777721287167,0.7002514372318359,3.604003762092134e-10
0.5,0.1,0.02326918168776363,1.0003499431294647,0.7085773942416451,5.6840754325548914e-11
0.5,0.1,0.04297529725877131,1.0003837256256958,0.7091223087272092,2.449055402919953e-09
0.5,0.1,0.07937005259841,1.0012431783929416,0.7102669777348984,-2.7620861153820897e-10
0.5,0.1,0.14658665911120855,1.0042754811593466,0.7143514895888479,-7.253654343841731e-10
0.5,0.1,0.2707274082090771,1.0150979755341658,0.7288988880702983,-3.967315265196447e-08
0.5,0.1,0.5,1.0585589073632446,0.7868745744248142,-1.3563594691845537e-11
0.55,0.1,0.002,1.0492637775001223,-0.15353713493015886,-1.4835177530869714e-10
0.55,0.1,0.0036937523489595147,1.0152889089375903,0.6377801656029753,-3.797217595913338e-08
0.55,0.1,0.006821903207721965,1.0040375007546116,0.7452161494587306,-1.5746890524859225e-07
0.55,0.1,0.012599210498948734,1.0011660517832475,0.6995053651308214,-8.950199359425426e-08
0.55,0.1,0.02326918168776363,1.000321186883587,0.7084518982120042,9.753442498094955e-11
0.55,0.1,0.04297529725877131,1.0003835220219173,0.70913647300327,-4.2688615198294144e-08
0.55,0.1,0.07937005259841,1.001242810867229,0.710316257995175,-1.0938038252916726e-09
0.55,0.1,0.14658665911120855,1.0042753814587446,0.7145189867069432,4.8971937616215655e-12
0.55,0.1,0.2707274082090771,1.0150949668285423,0.7294373925715085,1.7061042134614013e-08
0.55,0.1,0.5,1.0584432487099356,0.7882338802798066,-2.584843450392782e-11
