model,iteration,sector,Umax,config_label,p_complex,p_difference_from_reference
scalar,4,-1,0.015,reference,0.8060788223512148,0.0
scalar,4,-1,0.02,reference,0.5685085036609805,0.0
scalar,4,-1,0.03,reference,0.357453729749688,0.0
scalar,4,-1,0.05,reference,0.20000000000037638,0.0
scalar,4,1,0.015,reference,0.8060995015610963,0.0
scalar,4,1,0.02,reference,0.5685244590842623,0.0
scalar,4,1,0.03,reference,0.3574682020786723,0.0
scalar,4,1,0.05,reference,0.200000000000378,0.0
scalar,5,-1,0.015,reference,1.4354078648545974,0.0
scalar,5,-1,0.02,reference,1.3366310403546642,0.0
scalar,5,-1,0.03,reference,1.3271823987144817,0.0
scalar,5,-1,0.05,reference,1.1408349011275365,0.0
scalar,5,1,0.015,reference,1.4354115927690818,0.0
scalar,5,1,0.02,reference,1.336631172216657,0.0
scalar,5,1,0.03,reference,1.3271808677417363,0.0
scalar,5,1,0.05,reference,1.1408341778183335,0.0
scalar,6,-1,0.015,reference,0.20000000000000004,0.0
scalar,6,-1,0.02,reference,0.7563313590462342,0.0
scalar,6,-1,0.03,reference,2.116200905987678,0.0
scalar,6,-1,0.05,reference,2.499999999999896,0.0
scalar,6,1,0.015,reference,0.20000000000000004,0.0
scalar,6,1,0.02,reference,0.7627265842888165,0.0
scalar,6,1,0.03,reference,2.044779513199827,0.0
scalar,6,1,0.05,reference,2.4999999999995413,0.0
