config_label,model,iteration,sector,method,Umax,p_magnitude,amplitude_magnitude,r2_magnitude,p_complex,A_real,A_imag,complex_rel_rms,n_fit
reference,scalar,4,-1,linear_all,0.015,0.579946650914642,8.641434418659472e-10,0.6847088979425123,0.36751833083282126,2.2118168370050713e-10,2.2468869686146784e-10,0.11607564725118018,5
reference,scalar,4,-1,linear_all,0.02,0.4193423931430727,3.6631460762312666e-10,0.537819023405715,0.24755295510178657,1.1698748473603477e-10,1.2097882926960762e-10,0.12579641302240724,6
reference,scalar,4,-1,linear_all,0.03,0.23522619820970544,1.4112535187755578e-10,0.2502679273075572,0.20000000000000556,8.382638412821359e-11,9.107155728882653e-11,0.15670404394520723,7
reference,scalar,4,-1,linear_all,0.05,0.420942309622748,3.5772768427261934e-10,0.5078829339451936,0.20000000000005091,2.004968493310461e-11,3.00428201958781e-11,0.31835411831634824,8
reference,scalar,4,-1,linear_drop_largest,0.015,0.9332282215467795,4.5204357172041855e-09,0.38313783153105974,0.20000000000294443,1.088871858089307e-10,1.1049442024354952e-10,0.20567206751349618,5
reference,scalar,4,-1,linear_drop_largest,0.02,0.660034820573696,1.0499072735520655e-09,0.2905049930678517,0.20000000000000004,1.0079900268643685e-10,1.0324000310645876e-10,0.19365015627033982,6
reference,scalar,4,-1,linear_drop_largest,0.03,0.40894622275444625,2.8590272199281027e-10,0.16847987256911823,0.20000000000000004,8.970584764321846e-11,9.456890714517456e-11,0.19155562396448542,7
reference,scalar,4,-1,linear_drop_largest,0.05,0.46783653092558264,3.8398075458518123e-10,0.28737778632765676,0.20000000000030735,3.560817084346022e-11,5.294499844315077e-11,0.3930348706772669,8
reference,scalar,4,-1,linear_small3,0.015,1.2417864445740954,1.4748340878748839e-08,0.6299521377377854,0.5377202626184128,3.818312832912009e-10,3.7540136389651935e-10,0.22149203067096704,5
reference,scalar,4,-1,linear_small3,0.02,0.9330607326168189,2.833023337157668e-09,0.5282465366825018,0.38049776109959405,1.6756469709368162e-10,1.6612575621872098e-10,0.2197135801547001,6
reference,scalar,4,-1,linear_small3,0.03,0.6453182285771721,6.380410856195944e-10,0.38168981768672305,0.22784361949956633,7.624591578014748e-11,7.702537791255566e-11,0.227022589483855,7
reference,scalar,4,-1,linear_small3,0.05,0.5316599910416552,3.6110443003100507e-10,0.37943326298214164,0.20000000000000007,3.413734475241173e-11,4.718848446663045e-11,0.46952250270672147,8
reference,scalar,4,-1,quadratic_all,0.015,0.9071291616695393,3.487869385933752e-09,0.2809035751413528,0.20000000000001303,1.035677404615549e-10,1.0401750389678907e-10,0.23804944767050423,5
reference,scalar,4,-1,quadratic_all,0.02,0.6279333120392384,7.845133360029966e-10,0.20458826384884143,0.2000000000000253,9.456612094944304e-11,9.471622024813651e-11,0.22200227339294873,6
reference,scalar,4,-1,quadratic_all,0.03,0.3951707164447067,2.349091660709094e-10,0.12256726442618893,0.20000000000001936,8.507681104288057e-11,8.531597375221878e-11,0.21187047292813885,7
