config_label,model,sector,method,U,n_iterations,relative_iteration_spread
reference,scalar,-1,linear_all,0.0,3,0.0
reference,scalar,-1,linear_all,0.0025,3,0.4690638010961125
reference,scalar,-1,linear_all,0.005,3,0.46899911612376677
reference,scalar,-1,linear_all,0.0075,3,0.47043077799118604
reference,scalar,-1,linear_all,0.01,3,0.4713739850710965
reference,scalar,-1,linear_all,0.015,3,0.4724421707926643
reference,scalar,-1,linear_all,0.02,3,0.47314097054061477
reference,scalar,-1,linear_all,0.03,3,0.474561750072334
reference,scalar,-1,linear_all,0.05,3,0.4763686490103426
reference,scalar,-1,linear_all,0.075,3,0.4367338914676096
reference,scalar,-1,linear_all,0.1,3,0.3703003609044406
reference,scalar,-1,linear_drop_largest,0.0,3,0.0
reference,scalar,-1,linear_drop_largest,0.0025,3,0.47100971912314366
reference,scalar,-1,linear_drop_largest,0.005,3,0.4644959721915818
reference,scalar,-1,linear_drop_largest,0.0075,3,0.47011004838267056
reference,scalar,-1,linear_drop_largest,0.01,3,0.4709282003138435
reference,scalar,-1,linear_drop_largest,0.015,3,0.4718375964618546
reference,scalar,-1,linear_drop_largest,0.02,3,0.4723557946096128
reference,scalar,-1,linear_drop_largest,0.03,3,0.4733419839816189
reference,scalar,-1,linear_drop_largest,0.05,3,0.47471358682642706
reference,scalar,-1,linear_drop_largest,0.075,2,0.0
reference,scalar,-1,linear_drop_largest,0.1,3,0.39111143340480675
reference,scalar,-1,linear_small3,0.0,3,0.0
reference,scalar,-1,linear_small3,0.0025,3,0.4731541003911133
reference,scalar,-1,linear_small3,0.005,3,0.4684557060454108
reference,scalar,-1,linear_small3,0.0075,3,0.46990134828733143
reference,scalar,-1,linear_small3,0.01,3,0.4705928817901063
reference,scalar,-1,linear_small3,0.015,3,0.47131484675863156
reference,scalar,-1,linear_small3,0.02,3,0.4717045749272135
reference,scalar,-1,linear_small3,0.03,3,0.4722643502940495
reference,scalar,-1,linear_small3,0.05,3,0.47280336782232874
reference,scalar,-1,linear_small3,0.075,3,0.4219600115864222
reference,scalar,-1,linear_small3,0.1,3,0.41503705807008573
reference,scalar,-1,quadratic_all,0.0,3,0.0
reference,scalar,-1,quadratic_all,0.0025,3,0.4731591831774648
reference,scalar,-1,quadratic_all,0.005,3,0.46155454966632453
reference,scalar,-1,quadratic_all,0.0075,3,0.4696360446427093
reference,scalar,-1,quadratic_all,0.01,3,0.4702408286745662
reference,scalar,-1,quadratic_all,0.015,3,0.47086853134613665
reference,scalar,-1,quadratic_all,0.02,3,0.47111634883028963
reference,scalar,-1,quadratic_all,0.03,3,0.47154485316575784
reference,scalar,-1,quadratic_all,0.05,3,0.4737251618433504
reference,scalar,-1,quadratic_all,0.075,3,0.4907422964370678
reference,scalar,-1,quadratic_all,0.1,3,0.4756455745340647
reference,scalar,-1,quadratic_small4,0.0,3,0.0
reference,scalar,-1,quadratic_small4,0.0025,3,0.46967434093849686
reference,scalar,-1,quadratic_small4,0.005,3,0.47183392977624994
reference,scalar,-1,quadratic_small4,0.0075,3,0.4697908451056517
reference,scalar,-1,quadratic_small4,0.01,3,0.470345142626167
reference,scalar,-1,quadratic_small4,0.015,3,0.47085203635610606
reference,scalar,-1,quadratic_small4,0.02,3,0.47110063025445426
reference,scalar,-1,quadratic_small4,0.03,3,0.4713881088074716
reference,scalar,-1,quadratic_small4,0.05,3,0.47249215604717276
reference,scalar,-1,quadratic_small4,0.075,2,1.4214920028099728e-16
reference,scalar,-1,quadratic_small4,0.1,3,0.4840603096268617
reference,scalar,1,linear_all,0.0,3,0.0
reference,scalar,1,linear_all,0.0025,3,0.46906435111313366
reference,scalar,1,linear_all,0.005,3,0.46899948710153433
reference,scalar,1,linear_all,0.0075,3,0.47043099319158
reference,scalar,1,linear_all,0.01,3,0.47137413981725335
reference,scalar,1,linear_all,0.015,3,0.47244224314909006
reference,scalar,1,linear_all,0.02,3,0.4731410035136237
reference,scalar,1,linear_all,0.03,3,0.474558282493118
reference,scalar,1,linear_all,0.05,3,0.47636893783249074
reference,scalar,1,linear_all,0.075,3,0.4363467534815227
reference,scalar,1,linear_all,0.1,3,0.3703974006549828
reference,scalar,1,linear_drop_largest,0.0,3,0.0
reference,scalar,1,linear_drop_largest,0.0025,3,0.47100966138041006
reference,scalar,1,linear_drop_largest,0.005,3,0.46449580120495215
reference,scalar,1,linear_drop_largest,0.0075,3,0.4701101497367252
reference,scalar,1,linear_drop_largest,0.01,3,0.47092827364139783
reference,scalar,1,linear_drop_largest,0.015,3,0.47183761868886054
reference,scalar,1,linear_drop_largest,0.02,3,0.4723557858015459
reference,scalar,1,linear_drop_largest,0.03,3,0.4733374083819483
reference,scalar,1,linear_drop_largest,0.05,3,0.47471758443880047
reference,scalar,1,linear_drop_largest,0.075,2,1.476842150546526e-16
reference,scalar,1,linear_drop_largest,0.1,3,0.3911027614842336
reference,scalar,1,linear_small3,0.0,3,0.0
reference,scalar,1,linear_small3,0.0025,3,0.4731544537409664
reference,scalar,1,linear_small3,0.005,3,0.46845610701395185
reference,scalar,1,linear_small3,0.0075,3,0.4699015703228886
reference,scalar,1,linear_small3,0.01,3,0.4705930103636463
reference,scalar,1,linear_small3,0.015,3,0.4713148865541639
reference,scalar,1,linear_small3,0.02,3,0.47170455258392036
