config_label,model,iteration,sector,Umax,model_variant,p,y00_real,y00_imag,A_real,A_imag,a1_real,a1_imag,a2_real,a2_imag,a3_real,a3_imag,rel_rms,n,success
reference,scalar,4,-1,0.015,linear_delta,0.9886183959484591,-3.2642932101979045e-12,-6.73691189788621e-10,7.306076944094054e-11,1.575363901029254e-09,1.1052176923801054e-10,1.369411682618537e-08,0.0,0.0,0.0,0.0,0.01596394229564136,30,True
reference,scalar,4,-1,0.015,quadratic_delta,0.9886183634552198,-4.949911788386176e-13,-6.717161997764047e-10,7.306076931321133e-11,1.5753639045574784e-09,9.418048784359346e-11,1.3682462601268523e-08,1.4925037006890833e-11,1.0644192090703396e-11,0.0,0.0,0.015963801012137388,30,True
reference,scalar,4,-1,0.015,quadratic_cross,0.20000000000000004,-4.21413047063022e-11,6.414700755334981e-13,1.0380879075390893e-10,4.4230957266515127e-11,9.143018311509696e-11,1.2260225882318757e-08,1.4925037006990246e-11,1.0644192087734241e-11,6.188185638870901e-12,3.200032617641486e-09,0.002057042067647368,30,True
reference,scalar,4,-1,0.02,linear_delta,1.0502506762201727,5.650296299260385e-12,-8.723735389105727e-10,5.876071190561979e-11,2.1637567857062233e-09,1.1398295500104133e-10,1.4136275204724295e-08,0.0,0.0,0.0,0.0,0.02036059350152225,35,True
reference,scalar,4,-1,0.02,quadratic_delta,1.0502506833447551,7.230118407738772e-12,-8.722489386965689e-10,5.876071191525028e-11,2.1637567844266472e-09,1.046606377777403e-10,1.4135539977687538e-08,8.51438306393056e-12,6.715073610064826e-13,0.0,0.0,0.020360572958209273,35,True
reference,scalar,4,-1,0.02,quadratic_cross,0.20414641567090852,-3.124962538029142e-11,2.90990139080378e-11,9.101496080858936e-11,2.5014503555114824e-12,1.0530624939561431e-10,1.2205185828477589e-08,7.0176238294961195e-12,1.3563315939989354e-12,-7.091560958301644e-12,4.506734926856941e-09,0.002275422353099989,35,True
reference,scalar,4,-1,0.03,linear_delta,1.1652147953456158,1.3873769393425978e-11,-1.168286786256032e-09,4.504845136753645e-11,3.5233802147397554e-09,1.198112480284427e-10,1.4837101277147774e-08,0.0,0.0,0.0,0.0,0.02731805051756341,40,True
reference,scalar,4,-1,0.03,quadratic_delta,1.1652148175102126,1.5572128457426796e-11,-1.1693296625201553e-09,4.504845130345034e-11,3.5233802106525105e-09,1.097894609242471e-10,1.4843255244436948e-08,9.15323222183821e-12,-5.620623457672331e-12,0.0,0.0,0.02731803298468827,40,True
reference,scalar,4,-1,0.03,quadratic_cross,0.20000000000104431,-4.548580906134443e-11,1.2603437502608894e-10,1.079843571378361e-10,-1.3429603326721108e-10,1.1415507341344078e-10,1.2023269581494929e-08,9.153232221914579e-12,-5.620623457600298e-12,-1.164163330471099e-11,7.519961767843491e-09,0.0038300622701473185,40,True
reference,scalar,4,-1,0.05,linear_delta,1.2979765149408555,-3.990301101865761e-11,-1.7633009526111164e-09,2.032705732480711e-10,6.935322434027798e-09,2.026646427760176e-10,1.6222661876981723e-08,0.0,0.0,0.0,0.0,0.038563542982413754,45,True
reference,scalar,4,-1,0.05,quadratic_delta,1.2979765304816915,-2.9209471027683654e-11,-1.7498445293664805e-09,2.0327057315921803e-10,6.935322431062175e-09,1.3956350489020044e-10,1.6143257432521675e-08,5.7632372602388166e-11,7.252272593781134e-11,0.0,0.0,0.038563057281472406,45,True
reference,scalar,4,-1,0.05,quadratic_cross,0.26803228707821114,4.145259380803138e-11,4.368700232149694e-10,-2.965625070226494e-11,-6.526281271441963e-10,-2.6864274515393163e-11,1.1383289230575442e-08,5.7632372602315956e-11,7.252272593645602e-11,5.349464338038266e-10,1.529989779197619e-08,0.007514473107396343,45,True
reference,scalar,4,1,0.015,linear_delta,0.988618118124472,-3.2647032889442633e-12,-6.736910329036697e-10,7.306121977510728e-11,1.5753639378406481e-09,1.1052200737338657e-10,1.3694116426566299e-08,0.0,0.0,0.0,0.0,0.01596394427474799,30,True
reference,scalar,4,1,0.015,quadratic_delta,0.9886181380907973,-4.956506619033136e-13,-6.717157458274912e-10,7.306121901474181e-11,1.5753639357101727e-09,9.418220423373452e-11,1.368246056900606e-08,1.4923686867577965e-11,1.0645683237016884e-11,0.0,0.0,0.015963802994860138,30,True
reference,scalar,4,1,0.015,quadratic_cross,0.20000000000000004,-4.214175954323815e-11,6.41985307697579e-13,1.0380879058471061e-10,4.42309982806515e-11,9.143175993069204e-11,1.2260223800873751e-08,1.4923686867577752e-11,1.0645683235753306e-11,6.188499681838067e-12,3.2000327283000067e-09,0.002057041823811845,30,True
reference,scalar,4,1,0.02,linear_delta,1.0502504775414752,5.6499603508110725e-12,-8.723734064971016e-10,5.876114133636703e-11,2.163756751136676e-09,1.1398314279074777e-10,1.4136274903708588e-08,0.0,0.0,0.0,0.0,0.02036059694695573,35,True
reference,scalar,4,1,0.02,quadratic_delta,1.0502504319854038,7.22959749363495e-12,-8.722485750528926e-10,5.876114257401944e-11,2.1637567592823638e-09,1.0466191019993184e-10,1.41355381491732e-08,8.513392432922756e-12,6.729024759358782e-13,0.0,0.0,0.020360576407870406,35,True
reference,scalar,4,1,0.02,quadratic_cross,0.20416509762797064,-3.125227364779454e-11,2.9100422065049826e-11,9.101842167076593e-11,2.5003560914352126e-12,1.0530798403971935e-10,1.2205183530757202e-08,7.017152601278438e-12,1.3576253546934625e-12,-7.090695922181813e-12,4.506735758015494e-09,0.0022754226755011225,35,True
reference,scalar,4,1,0.03,linear_delta,1.1652147951373653,1.3873542328624993e-11,-1.1682865707086755e-09,4.50487338653147e-11,3.5233802022759154e-09,1.1981139786042567e-10,1.4837100978011374e-08,0.0,0.0,0.0,0.0,0.027318052497747113,40,True
reference,scalar,4,1,0.03,quadratic_delta,1.165214786985882,1.557174972429395e-11,-1.1693292283733574e-09,4.50487333854929e-11,3.5233802037867753e-09,1.0979050505218595e-10,1.4843253525742093e-08,9.152415431545407e-12,-5.619326928829207e-12,0.0,0.0,0.027318034969360843,40,True
reference,scalar,4,1,0.03,quadratic_cross,0.20000000000104418,-4.548623272214933e-11,1.2603483768686234e-10,1.0798455681852659e-10,-1.3429604832711016e-10,1.1415612911827114e-10,1.2023267797169048e-08,9.152415431461907e-12,-5.619326923191355e-12,-1.164166417603006e-11,7.519961942850118e-09,0.0038300614277681838,40,True
reference,scalar,4,1,0.05,linear_delta,1.2979764820156585,-3.990319625665374e-11,-1.7633007713616849e-09,2.0327078738899617e-10,6.93532230064516e-09,2.026648113816789e-10,1.6222661606935407e-08,0.0,0.0,0.0,0.0,0.038563544373860094,45,True
reference,scalar,4,1,0.05,quadratic_delta,1.2979764582888982,-2.920978417249046e-11,-1.7498441568239418e-09,2.0327078733341945e-10,6.935322305176771e-09,1.395644212316737e-10,1.6143255784342103e-08,5.7631689670322455e-11,7.252398463738562e-11,0.0,0.0,0.03856305866705706,45,True
reference,scalar,4,1,0.05,quadratic_cross,0.2680324318155,4.1452185525579696e-11,4.3687046543857697e-10,-2.965601193442004e-11,-6.526282861793472e-10,-2.6863361974678968e-11,1.1383287498378447e-08,5.763168967040568e-11,7.252398463650598e-11,5.34946446020138e-10,1.529989806203388e-08,0.007514472044190902,45,True
reference,scalar,5,-1,0.015,linear_delta,1.3423814257662863,-8.70924244139449e-09,-5.565661054287939e-09,6.374897684746143e-08,3.53614586260197e-08,1.7364817581875866e-08,3.751894379286343e-08,0.0,0.0,0.0,0.0,0.0376410949576194,30,True
reference,scalar,5,-1,0.015,quadratic_delta,1.3423814262309581,-1.0417114748632741e-08,-6.483514255828356e-09,6.374897684537388e-08,3.5361458626073764e-08,2.744274232176778e-08,4.293507206220082e-08,-9.204504595767487e-09,-4.9467304859954605e-09,0.0,0.0,0.037263397257337905,30,True
reference,scalar,5,-1,0.015,quadratic_cross,1.574717514362407,-1.2293422828495959e-09,-1.493960746813222e-10,4.336606929553934e-08,2.051988018069435e-08,8.310994320604448e-09,2.9036043062702285e-08,-9.204504595771335e-09,-4.9467304859937946e-09,4.304643300262492e-08,3.127281524886815e-08,0.0072711762536091795,30,True
reference,scalar,5,-1,0.02,linear_delta,1.3847864142182609,-1.1913563907442688e-08,-6.7143739423269004e-09,9.593077639117204e-08,5.2459509308251086e-08,2.454005837588518e-08,4.048536342724393e-08,0.0,0.0,0.0,0.0,0.03871796402708467,35,True
reference,scalar,5,-1,0.02,quadratic_delta,1.3847864159721412,-1.5098752335403936e-08,-7.731592954552297e-09,9.593077638301207e-08,5.245950930397968e-08,4.333542691839863e-08,4.648783605102157e-08,-1.7166436602165115e-08,-5.4822583297215154e-09,0.0,0.0,0.03816854659442568,35,True
reference,scalar,5,-1,0.02,quadratic_cross,1.62652041411924,-1.865171031839318e-09,-3.5930784777041946e-10,6.482084108118651e-08,3.5033161057686784e-08,1.4937312782739233e-08,3.068094291789705e-08,-1.7166436602154127e-08,-5.482258329717113e-09,6.626226631652122e-08,3.688275064394904e-08,0.010526718147984403,35,True
reference,scalar,5,-1,0.03,linear_delta,1.4255589264288882,-1.7848537905571445e-08,-8.719705457348865e-09,1.6879574802506954e-07,9.899179213934869e-08,3.8816271708903935e-08,4.3567037485700204e-08,0.0,0.0,0.0,0.0,0.04161234484251014,40,True
reference,scalar,5,-1,0.03,quadratic_delta,1.4255589263966917,-2.4348890516989683e-08,-9.845138739258554e-09,1.6879574802581736e-07,9.899179213842857e-08,7.717397790739953e-08,5.0208067865762547e-08,-3.503337166129063e-08,-6.0654744137888716e-09,0.0,0.0,0.040938869941976104,40,True
reference,scalar,5,-1,0.03,quadratic_cross,1.6919817088233746,-2.252037410666703e-09,-1.2103690126858147e-09,1.0630835945025439e-07,7.860253761161864e-08,2.6946069450384538e-08,3.3942168115653866e-08,-3.503337166130014e-08,-6.0654744137831475e-09,1.3394108921872704e-07,4.337573266693921e-08,0.015290872828130755,40,True
reference,scalar,5,-1,0.05,linear_delta,1.4049435851927459,-3.3641318552523925e-08,-1.7116007419599583e-08,3.185894606341792e-07,2.376001727184644e-07,7.74574681721351e-08,5.186661345381008e-08,0.0,0.0,0.0,0.0,0.053376315318883184,45,True
reference,scalar,5,-1,0.05,quadratic_delta,1.404943586912213,-4.866699396104178e-08,-2.173986199607549e-08,3.1858946061341586e-07,2.37600172723121e-07,1.6612195765329135e-07,7.915135752124667e-08,-8.098023372612859e-08,-2.4920066248252812e-08,0.0,0.0,0.05269871684609869,45,True
reference,scalar,5,-1,0.05,quadratic_cross,1.7986232630663792,-5.825269724437275e-10,-4.3042264071306975e-09,1.4355843850939862e-07,1.9843523264116435e-07,4.980661692090696e-08,5.27608874030444e-08,-8.098023372610658e-08,-2.4920066248290482e-08,3.7387073806831694e-07,8.482651109432269e-08,0.0221202624353393,45,True
reference,scalar,5,1,0.015,linear_delta,1.3423874538432652,-8.709227616714015e-09,-5.5656522416320085e-09,6.374906222377087e-08,3.536149904791387e-08,1.736469726961918e-08,3.7518888325235423e-08,0.0,0.0,0.0,0.0,0.037641148931304956,30,True
reference,scalar,5,1,0.015,quadratic_delta,1.3423874526194153,-1.0416953420451907e-08,-6.483416038462044e-09,6.374906222817364e-08,3.536149904975629e-08,2.744175739984804e-08,4.29344889712421e-08,-9.203714918940516e-09,-4.946248590020266e-09,0.0,0.0,0.037263518888834446,30,True
reference,scalar,5,1,0.015,quadratic_cross,1.5747265871252387,-1.2291810514242805e-09,-1.4930219828825324e-10,4.3366134374780927e-08,2.0519909525590828e-08,8.309979689520718e-09,2.9035442468095788e-08,-9.203714918938862e-09,-4.946248590017218e-09,4.304649984822887e-08,3.1272854632072904e-08,0.007271492545642322,30,True
reference,scalar,5,1,0.02,linear_delta,1.384788230338577,-1.1913587638060495e-08,-6.71438728402563e-09,9.59308864033352e-08,5.24595652241513e-08,2.453995524370755e-08,4.0485315930040045e-08,0.0,0.0,0.0,0.0,0.03871802765963984,35,True
