config_label,model,iteration,sector,method,Umax,n,C_mean_real,C_mean_imag,C_mean_abs,complex_relative_scatter,phase_spread,log_slope_absC
reference,scalar,4,-1,linear_all,0.015,5,5.591803013758764e-18,2.409543214164604e-16,2.41019196891475e-16,0.5877581456029025,0.11000035165985514,-0.8296988176792649
reference,scalar,4,-1,linear_all,0.02,6,4.073378654042162e-18,2.0553838043498096e-16,2.0557873977017705e-16,0.7378090346963558,0.1129781868211598,-1.1533651382732104
reference,scalar,4,-1,linear_all,0.03,7,3.06942452925354e-18,1.7716654344033485e-16,1.7719313045808756e-16,0.8843547851648733,0.1734543297207578,-1.5236803928784624
reference,scalar,4,-1,linear_all,0.05,8,3.231626668234177e-18,1.6051418149805926e-16,1.6054670931823783e-16,0.9533652548267527,0.17092065637935716,-1.1512432788210232
reference,scalar,4,-1,linear_drop_largest,0.015,5,-2.2312442752489977e-17,5.062780457454203e-16,5.06769478861331e-16,1.5877596017312166,0.2851290318460164,-0.10964110048120354
reference,scalar,4,-1,linear_drop_largest,0.02,6,-1.889714897303248e-17,4.259432941910452e-16,4.2636227800501803e-16,1.7736249319236401,0.2688541871623701,-0.661601011292551
reference,scalar,4,-1,linear_drop_largest,0.03,7,-1.6444499789384784e-17,3.6604118748177427e-16,3.664103880983596e-16,1.9523115684319325,0.2749142360517854,-1.1683609595555333
reference,scalar,4,-1,linear_drop_largest,0.05,8,-1.3294425937068594e-17,3.224788475351613e-16,3.2275276740657393e-16,2.103934129807462,0.295175002868344,-1.0522949584671815
reference,scalar,4,-1,linear_small3,0.015,5,-1.8866584310363364e-19,1.4033838330301102e-16,1.4033851012071916e-16,0.9891703187656322,0.3394921935505624,0.4776107463720775
reference,scalar,4,-1,linear_small3,0.02,6,-2.530714207356754e-19,1.2004045175035637e-16,1.200407185149007e-16,1.1213402768424594,0.3126754085649736,-0.13856382621301122
reference,scalar,4,-1,linear_small3,0.03,7,-3.194045127932561e-19,1.0367908768416848e-16,1.0367957967827748e-16,1.2626127462495296,0.2889716609755052,-0.7130682793844773
reference,scalar,4,-1,linear_small3,0.05,8,1.8314928581439646e-19,9.108860259478452e-17,9.10887867211518e-17,1.3932499912148628,0.43433492632018805,-0.9383017939133138
reference,scalar,4,-1,quadratic_all,0.015,5,-3.8081650669414237e-17,7.109132829769226e-16,7.119325164864527e-16,1.8012902608796744,0.28363985384178864,-0.18198974120234637
reference,scalar,4,-1,quadratic_all,0.02,6,-3.1696650505104773e-17,5.952968606331427e-16,5.961401093140086e-16,2.01119560746846,0.2643375582442405,-0.7411739438283046
reference,scalar,4,-1,quadratic_all,0.03,7,-2.7177463621259597e-17,5.110482474605796e-16,5.117703838260034e-16,2.206244136704244,0.24681356007149308,-1.2073260698670116
reference,scalar,4,-1,quadratic_all,0.05,8,-2.3510507615965502e-17,4.468740242015623e-16,4.474920529735236e-16,2.3905942186364646,0.7531502639460577,-1.4125722815797548
reference,scalar,4,-1,quadratic_small4,0.015,5,2.6806191182338086e-18,6.080887733234013e-17,6.0867933111587e-17,0.7259539914821591,0.9967916353292793,0.082599981915699
reference,scalar,4,-1,quadratic_small4,0.02,6,2.273460017519333e-18,5.298655188532394e-17,5.303530240460013e-17,0.8291800052334841,0.8891043324495954,-0.21491845087364408
reference,scalar,4,-1,quadratic_small4,0.03,7,1.9479950975485563e-18,4.6054833772813934e-17,4.609601282911133e-17,0.9571223703080969,0.8103705537591543,-0.6197748573924127
reference,scalar,4,-1,quadratic_small4,0.05,8,1.703617348313455e-18,4.021473506727014e-17,4.025080407395859e-17,1.0949459394039642,1.168621663360402,-1.1493824876269099
reference,scalar,4,1,linear_all,0.015,5,5.582095812719721e-18,2.4095336166121597e-16,2.4101801237563784e-16,0.5877470788474607,0.10994346957679436,-0.8296553818097729
reference,scalar,4,1,linear_all,0.02,6,4.065327773656899e-18,2.055375815714501e-16,2.0557778169867426e-16,0.7377984225199004,0.11292517706134782,-1.1533338876813322
reference,scalar,4,1,linear_all,0.03,7,3.06251425167677e-18,1.7716586691495187e-16,1.7719233446531528e-16,0.8843442358170549,0.17341893607058625,-1.5236549725575361
reference,scalar,4,1,linear_all,0.05,8,3.2255830895534334e-18,1.6051359806376685e-16,1.605460044649013e-16,0.9533546809532478,0.1708916168331892,-1.1512252793194753
reference,scalar,4,1,linear_drop_largest,0.015,5,-2.2320397112531295e-17,5.062782858071503e-16,5.067700689731859e-16,1.5877502652101232,0.2849397177113617,-0.1094548821641614
reference,scalar,4,1,linear_drop_largest,0.02,6,-1.890373954156525e-17,4.259435129492949e-16,4.2636278870492615e-16,1.773615014922287,0.26867801227059057,-0.6614587190735599
reference,scalar,4,1,linear_drop_largest,0.03,7,-1.6450157536938548e-17,3.6604138395908815e-16,3.664108383408912e-16,1.9523010362582622,0.2747565995637891,-1.168251464981433
reference,scalar,4,1,linear_drop_largest,0.05,8,-1.3299375335555824e-17,3.224790234071484e-16,3.227531470364684e-16,2.1039232440369906,0.295055880766199,-1.05221484189034
reference,scalar,4,1,linear_small3,0.015,5,-1.8783421292676804e-19,1.4034022739010688e-16,1.4034035309061485e-16,0.989122771592443,0.3389474280766935,0.4776654157962001
reference,scalar,4,1,linear_small3,0.02,6,-2.523423624792656e-19,1.2004200888699598e-16,1.2004227411330361e-16,1.1212928294825713,0.31217504954914843,-0.13852060704447883
reference,scalar,4,1,linear_small3,0.03,7,-3.18786640574975e-19,1.0368044074704132e-16,1.0368093083312357e-16,1.2625641821749534,0.2885106413897747,-0.7130301111439653
reference,scalar,4,1,linear_small3,0.05,8,1.8369378371193207e-19,9.108978292223909e-17,9.108996814263805e-17,1.3932002285165042,0.4340180900625142,-0.9382750578361061
reference,scalar,4,1,quadratic_all,0.015,5,-3.808329458524891e-17,7.109127620211595e-16,7.119320842124062e-16,1.8012773485397584,0.28321335938412723,-0.18190366862800367
reference,scalar,4,1,quadratic_all,0.02,6,-3.169798419505489e-17,5.952964608495532e-16,5.961397810094823e-16,2.0111817220475903,0.26394527636371473,-0.7411080710806172
reference,scalar,4,1,quadratic_all,0.03,7,-2.717861470703328e-17,5.110479191125079e-16,5.117701170707584e-16,2.2062293367066967,0.24644738313904382,-1.2072746256049838
reference,scalar,4,1,quadratic_all,0.05,8,-2.3511514811945036e-17,4.468737347420549e-16,4.474918168313973e-16,2.390578605428397,0.7529979026443503,-1.4125362649092228
reference,scalar,4,1,quadratic_small4,0.015,5,2.6703581706789086e-18,6.080736411743602e-17,6.086597032554527e-17,0.725936512146806,0.9967258563323043,0.08271207276202751
reference,scalar,4,1,quadratic_small4,0.02,6,2.2649403890608597e-18,5.2985315829743725e-17,5.303370294957434e-17,0.8291595526748562,0.8890526294122018,-0.21482453678087127
