config_label,model,iteration,method,U,relative_sector_y_difference,relative_sector_Bx_difference
reference,scalar,4,linear_all,0.0,0.0,2.3925987739065505e-07
reference,scalar,4,linear_all,0.0025,8.092530340323617e-05,6.031531661818017e-07
reference,scalar,4,linear_all,0.005,6.9336821153814365e-06,3.246933684312177e-07
reference,scalar,4,linear_all,0.0075,9.131216846525087e-06,2.174537740635395e-07
reference,scalar,4,linear_all,0.01,3.4828206642080892e-06,1.360599381095276e-07
reference,scalar,4,linear_all,0.015,3.3030487849655823e-06,1.848979881616164e-07
reference,scalar,4,linear_all,0.02,4.012351277084696e-06,1.422395278689628e-07
reference,scalar,4,linear_all,0.03,5.766700666023256e-06,6.509174209970331e-08
reference,scalar,4,linear_all,0.05,8.299688419262953e-07,1.523384886216672e-07
reference,scalar,4,linear_all,0.075,1.200900202693543e-06,8.2482579455746e-08
reference,scalar,4,linear_all,0.1,1.4768997283421594e-05,9.372988381182485e-08
reference,scalar,4,linear_drop_largest,0.0,0.0,2.870772837902864e-07
reference,scalar,4,linear_drop_largest,0.0025,0.00028753672632116165,7.507318220501798e-07
reference,scalar,4,linear_drop_largest,0.005,4.289947721296743e-06,4.172892065122725e-07
reference,scalar,4,linear_drop_largest,0.0075,1.4678050598072198e-05,2.6066557832109554e-07
reference,scalar,4,linear_drop_largest,0.01,8.52991091981006e-06,1.6595705461508766e-07
reference,scalar,4,linear_drop_largest,0.015,2.8609909804215926e-06,2.2750487993133995e-07
reference,scalar,4,linear_drop_largest,0.02,5.186818586110112e-06,1.770848544578936e-07
reference,scalar,4,linear_drop_largest,0.03,6.303057303650566e-06,7.032219763443273e-08
reference,scalar,4,linear_drop_largest,0.05,8.675230012850914e-07,1.8056566259912612e-07
reference,scalar,4,linear_drop_largest,0.075,2.916571067648796e-06,1.0478770525107474e-07
reference,scalar,4,linear_drop_largest,0.1,1.2444667438109214e-05,1.2179212931601981e-07
reference,scalar,4,linear_small3,0.0,0.0,3.972974162323149e-07
reference,scalar,4,linear_small3,0.0025,0.0006886584502246785,1.0758956489356724e-06
reference,scalar,4,linear_small3,0.005,1.2443059551136618e-05,6.327028047069735e-07
reference,scalar,4,linear_small3,0.0075,7.745374184728425e-06,2.9678111475004985e-07
reference,scalar,4,linear_small3,0.01,1.0460703322694722e-05,1.3498116791913669e-07
reference,scalar,4,linear_small3,0.015,4.633620468112807e-06,3.2287216121794924e-07
reference,scalar,4,linear_small3,0.02,6.643144275197662e-06,2.723603753380043e-07
reference,scalar,4,linear_small3,0.03,1.2247986289637059e-05,9.814932191976961e-08
reference,scalar,4,linear_small3,0.05,4.434208214693271e-06,2.2955877443972778e-07
reference,scalar,4,linear_small3,0.075,4.925195619494187e-06,1.7751033979001203e-07
reference,scalar,4,linear_small3,0.1,4.2614956205391386e-06,2.1190022059155872e-07
reference,scalar,4,quadratic_all,0.0,0.0,4.010096969345411e-07
reference,scalar,4,quadratic_all,0.0025,0.0005357514294957852,1.0896206905725996e-06
reference,scalar,4,quadratic_all,0.005,4.657423607962263e-06,6.312292315288313e-07
reference,scalar,4,quadratic_all,0.0075,2.0953766315523584e-05,3.290930763213074e-07
reference,scalar,4,quadratic_all,0.01,1.5433633178490724e-05,1.823996238324519e-07
reference,scalar,4,quadratic_all,0.015,1.2428076370194572e-06,3.411273812564215e-07
reference,scalar,4,quadratic_all,0.02,8.62113561845905e-06,2.9219978063957444e-07
reference,scalar,4,quadratic_all,0.03,1.0205292240734457e-05,9.072047159807045e-08
reference,scalar,4,quadratic_all,0.05,2.6756873563036668e-06,2.3800174435561483e-07
reference,scalar,4,quadratic_all,0.075,3.987738403474132e-06,1.6986006210316557e-07
reference,scalar,4,quadratic_all,0.1,5.970349765511697e-06,2.0845955929197283e-07
reference,scalar,4,quadratic_small4,0.0,0.0,5.074609480170806e-07
reference,scalar,4,quadratic_small4,0.0025,0.0002949823795433807,1.3935863195577546e-06
reference,scalar,4,quadratic_small4,0.005,0.0001971967465523465,8.238431382891373e-07
reference,scalar,4,quadratic_small4,0.0075,6.0264864038495306e-06,3.4150904123997275e-07
reference,scalar,4,quadratic_small4,0.01,2.0398570978790436e-05,1.271878319460345e-07
reference,scalar,4,quadratic_small4,0.015,3.538213084241183e-06,4.748402010063333e-07
reference,scalar,4,quadratic_small4,0.02,8.542301074538668e-06,4.468980088466743e-07
reference,scalar,4,quadratic_small4,0.03,1.9167835071269463e-05,1.2244140933437494e-07
reference,scalar,4,quadratic_small4,0.05,2.652166956110593e-05,2.820647153148324e-07
reference,scalar,4,quadratic_small4,0.075,6.455096078041666e-06,2.481649588236486e-07
reference,scalar,4,quadratic_small4,0.1,2.4425716934697753e-06,3.190202802093944e-07
reference,scalar,5,linear_all,0.0,0.0,1.6444114764746856e-05
reference,scalar,5,linear_all,0.0025,1.7493690616716128e-05,1.0069245169673119e-07
reference,scalar,5,linear_all,0.005,5.388106147407916e-06,1.4206459526191215e-07
reference,scalar,5,linear_all,0.0075,4.009658682977193e-06,5.0077868362328763e-08
reference,scalar,5,linear_all,0.01,2.6419273744016216e-06,1.3665877122030646e-08
reference,scalar,5,linear_all,0.015,1.4337861304872748e-06,1.0087828126283438e-08
reference,scalar,5,linear_all,0.02,9.384575966161632e-07,6.1540898010629475e-09
reference,scalar,5,linear_all,0.03,5.250329933507804e-07,1.899256696974017e-09
reference,scalar,5,linear_all,0.05,2.918226303934552e-07,7.296091631717036e-10
reference,scalar,5,linear_all,0.075,0.005394902414520703,0.0010167658900436893
reference,scalar,5,linear_all,0.1,0.0011483271317837556,0.00022107372690831516
reference,scalar,5,linear_drop_largest,0.0,0.0,2.1405583343278144e-05
reference,scalar,5,linear_drop_largest,0.0025,2.815419704211435e-05,1.1771906913563365e-07
reference,scalar,5,linear_drop_largest,0.005,8.569977948544903e-05,6.84976590546256e-06
reference,scalar,5,linear_drop_largest,0.0075,6.226653370332224e-06,5.8429223601665814e-08
reference,scalar,5,linear_drop_largest,0.01,4.081992629731755e-06,1.6193049844915475e-08
reference,scalar,5,linear_drop_largest,0.015,2.2172783376284887e-06,1.1426796971769277e-08
reference,scalar,5,linear_drop_largest,0.02,1.467025726727191e-06,6.874218680660233e-09
reference,scalar,5,linear_drop_largest,0.03,8.303596799423739e-07,2.4455964297534087e-09
reference,scalar,5,linear_drop_largest,0.05,4.799253423496833e-07,9.027521839809694e-10
reference,scalar,5,linear_drop_largest,0.075,0.0034938412444451197,0.000493470357057169
reference,scalar,5,linear_drop_largest,0.1,0.0017674889068367283,0.0002391513641606663
reference,scalar,5,linear_small3,0.0,0.0,3.482409655349963e-05
reference,scalar,5,linear_small3,0.0025,5.537193585985308e-05,1.3440186298790042e-07
reference,scalar,5,linear_small3,0.005,1.943584968347905e-05,2.558847234988633e-08
reference,scalar,5,linear_small3,0.0075,1.104799849814422e-05,7.152490569420675e-08
reference,scalar,5,linear_small3,0.01,7.277179468412994e-06,2.3998316171745336e-08
reference,scalar,5,linear_small3,0.015,4.0245630014175656e-06,1.3832776817539356e-08
reference,scalar,5,linear_small3,0.02,2.790551014762861e-06,9.650712979523838e-09
