run,config_label,model,iteration,delta_coh,U,sector,Lambda,z_shift,nkeep,beta0,Gamma_PT,Delta_eff,F_lambda,soc_lambda,z_center_real,z_center_imag,s_real,s_imag,s_abs,y_real,y_imag,y_abs,B_frobenius,alignment,trace_fraction,support,max_residual,biorth_error,reliable,tracking_cost,rank_minus,rank_plus,B0_real,B0_imag,Bx_real,Bx_imag,By_real,By_imag,Bz_real,Bz_imag,Bx_abs,By_abs,Bz_abs,nilpotent_mismatch
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.000000,reference,scalar,4,0.0001,0.0,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504856245782052,1.6271482258614045e-06,7.832051692613362e-05,7.82936420770689e-05,0.00011074293549147484,4.208981884609457e-12,1.2263997039011445e-08,1.2263997761268958e-08,0.00012449380998830417,0.9999997822584727,0.00043067758936101417,1.1136731959135275,1.9642841109805372e-12,1.5363091012708508e-08,True,0.0,8,10,-4.952940889455665e-12,-3.7912727571798596e-08,4.888652393371914e-08,6.22468955859108e-05,1.6554276395866485e-15,-1.113577245979526e-14,6.224688222595895e-05,1.3360357387188565e-08,6.224691478278666e-05,1.1258146781164385e-14,6.224688365975886e-05,0.000499999867731145
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.002500,reference,scalar,4,0.0001,0.0025,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504872967614348,2.0022280843196794e-06,8.087687917984754e-05,7.976579548454296e-05,0.00011359424155807191,1.7848745658972185e-10,1.290241720817562e-08,1.2903651715153592e-08,0.00012769935705673438,0.9999997787442877,0.0004387613777130701,1.1134704127328223,2.4343483021623057e-12,1.6667977418939027e-09,True,0.04535867292395821,8,10,-2.8363134835441206e-10,-3.961785653606768e-08,4.804372559096755e-07,6.384788079323323e-05,-1.205829327447644e-15,3.444654954038015e-14,6.384829738209771e-05,-4.1658895819740307e-07,6.384968834492294e-05,3.446764859407727e-14,6.38496564200065e-05,0.0004999998775804057
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.005000,reference,scalar,4,0.0001,0.005,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504879091342524,2.431271607901098e-06,8.23890954794737e-05,8.12306330289444e-05,0.00011569951942946379,1.8954731164280121e-10,1.3385036760959582e-08,1.3386378796208869e-08,0.00013006606482498818,0.9999997750604999,0.0004470784290890838,1.1132614143205877,1.3578637206063522e-12,1.028673578159169e-09,True,0.187936886493917,9,11,-3.0819706864842556e-10,-4.111691472982303e-08,4.996108096197863e-07,6.503112303483737e-05,1.9881252406091926e-14,1.853598520308155e-14,6.503155761300954e-05,-4.3457925160670064e-07,6.503304217190861e-05,2.7181739176947345e-14,6.503300965432943e-05,0.0004999998780163197
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.007500,reference,scalar,4,0.0001,0.0075,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504689015471286,-9.532846813894671e-07,8.377130022235724e-05,8.27826401485239e-05,0.00011777349553657781,1.646652309843073e-10,1.386961880216272e-08,1.3870596250904312e-08,0.00013239857881044046,0.999999771242547,0.0004555381767118015,1.1130604431872897,1.992968885159986e-12,2.2819435452800404e-09,True,0.18790014219295492,8,10,-2.6628815690302957e-10,-4.2646622183682857e-08,4.325598637680744e-07,6.619788585315482e-05,2.0995337900956562e-14,-1.3507980131655705e-14,6.61982522157e-05,-3.6636161155942685e-07,6.619929908588955e-05,2.4965370832666364e-14,6.619926598719849e-05,0.000499999874989348
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.010000,reference,scalar,4,0.0001,0.01,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504689381705093,-9.933188918386036e-07,8.534276878280345e-05,8.437281171106071e-05,0.00012000899774410731,1.6461682748494697e-10,1.440121872282413e-08,1.4402159539545154e-08,0.0001349119251257562,0.9999997671729707,0.0004643858092225892,1.112841804407631,2.048083124774601e-12,2.5061674156730875e-10,True,0.18866423307747798,9,11,-2.679579555746499e-10,-4.4300266330680874e-08,4.2547052850873023e-07,6.745463033571683e-05,-7.80208823979514e-15,-3.050464481580483e-14,6.745498835488689e-05,-3.580155396908498e-07,6.745597215146217e-05,3.1486599312087643e-14,6.745593842712875e-05,0.000499999878588097
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.015000,reference,scalar,4,0.0001,0.015,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504691026682868,-1.0843413118642747e-06,8.864935967134446e-05,8.771177409684245e-05,0.00012470791588890787,1.6535365492387105e-10,1.5551185218645403e-08,1.5552064285354918e-08,0.00014019527351457657,0.9999997583547032,0.00048300177251908656,1.112384647943344,2.1587732619559466e-12,2.445799774052035e-10,True,0.05908331705759949,9,11,-2.74168951532375e-10,-4.788064357351085e-08,4.13252259395032e-07,7.009642795440923e-05,2.8482973629413016e-14,-4.42946653989654e-14,7.009677111105862e-05,-3.43155487424193e-07,7.009764610454177e-05,5.2662103732951455e-14,7.009761105690187e-05,0.0004999998811774241
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.020000,reference,scalar,4,0.0001,0.02,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504693898990858,-1.1943577396437036e-06,9.217698260666207e-05,9.126255077023969e-05,0.00012971294960627277,1.677429493783058e-10,1.6824613109975994e-08,1.6825449295559456e-08,0.0001458233055669166,0.9999997485548644,0.0005028820886067845,1.111899363773612,2.6983992164215072e-12,3.299438511332954e-10,True,0.06049990241036816,9,11,-2.854530178311894e-10,-5.1852718185406715e-08,4.0461368084426927e-07,7.291053910780831e-05,2.4406874904372294e-14,-2.849861875146528e-14,7.291087081134932e-05,-3.3170280984396707e-07,7.291166179166384e-05,3.752155131839629e-14,7.291162533659038e-05,0.0004999998763211293
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.030000,reference,scalar,4,0.0001,0.03,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504703471864686,-1.5185438487385803e-06,9.989710111885097e-05,9.896836480836142e-05,0.0001406206529809574,1.846935791090247e-10,1.9773305493656426e-08,1.9774168044790847e-08,0.00015808975034444783,0.9999997256106089,0.0005466067230053662,1.110835423309953,3.2667037634260848e-12,2.34122244526609e-10,True,0.12646238935464002,9,11,-3.3685369748968517e-10,-6.110223345824158e-08,4.1103470700722744e-07,7.904381442480091e-05,-1.8913459665613475e-14,-3.998118569045666e-14,7.904414641390667e-05,-3.3199056111886114e-07,7.904488312568201e-05,4.422910993607676e-14,7.90448436018175e-05,0.0004999998716325156
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.050000,reference,scalar,4,0.0001,0.05,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504732270717406,-4.1067322347499975e-06,0.00011842218725616194,0.00011509493945135,0.00016513830422359134,7.769693472235603e-10,2.7259588943888777e-08,2.7270659521843404e-08,0.00018565785490842673,0.9999996630835383,0.0006510246098859557,1.1082428582820545,2.869188377772376e-12,3.3026982216899827e-10,True,0.4296793629602427,10,12,-1.4238928017958345e-09,-8.545460200393662e-08,1.3620867930310826e-06,9.281893744421139e-05,-1.9541056869420287e-14,-9.952835441826805e-15,9.282020671012674e-05,-1.2692665866197033e-06,9.282893098977374e-05,2.1929702161817006e-14,9.282888457467626e-05,0.0004999998733398511
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.075000,reference,scalar,4,0.0001,0.075,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6505015092092683,-1.4506850165499889e-06,0.0001521072611791463,0.00014969103995875,0.00021341046447480758,7.292114594889419e-10,4.553818822236722e-08,4.554402634735311e-08,0.000239879970404221,0.9999995404649776,0.0008179670702001429,1.1038290319789958,2.3338939727194628e-12,3.501585721742685e-10,True,0.7639585825475186,12,14,-1.772039425359227e-09,-1.3873287428836598e-07,9.892623375434805e-07,0.00011993589528600879,-7.396461102014001e-15,2.6583515585964167e-14,0.00011993676461215995,-8.693255735463605e-07,0.00011993997506264935,2.7593313279539408e-14,0.00011993991509328945,0.0004999998724548476
adapter/output/jordan_comprehensive/reference/scalar/delta_1.0e-04/U_0.100000,reference,scalar,4,0.0001,0.1,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.650497565576329,-3.186369816649993e-06,0.00019166408860521456,0.00018735326034015,0.0002680230718071703,1.6338787007835075e-09,7.181778378062069e-08,7.183636702095156e-08,0.0003010054885864003,0.9999993485920509,0.0010260681572107297,1.0976418171784674,2.358608160861184e-12,8.76466281780862e-10,True,0.38658708515822754,12,14,-4.178366751621016e-09,-2.1835147262991494e-07,1.6990013303576172e-06,0.00015049311250822227,1.9173885027444493e-14,-2.4632772662174385e-14,0.00015049466101462047,-1.5485066696390303e-06,0.00015050270269311778,3.1215562722334923e-14,0.0001505026274415548,0.0004999998740069082
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.000000,reference,scalar,4,7e-05,0.0,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504860549941148,1.4983329783608925e-06,6.552445995977596e-05,6.550842542278677e-05,9.265424250617508e-05,2.1010516474671632e-12,8.584808397286722e-09,8.584808654393098e-09,0.00012449384014591013,0.9999998933102764,0.0003014622269789812,1.333090856096669,2.330253807830689e-12,2.9525329304377405e-08,True,0.41299200310436357,9,11,2.514830588240015e-13,-2.6537852056014353e-08,3.4352627312957525e-08,6.22469153906686e-05,1.4389836165088626e-14,-1.2781750881063748e-14,6.224690893620179e-05,9.220209443977256e-09,6.224692486987658e-05,1.924683195862806e-14,6.224690961906512e-05,0.0003499999611535537
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.002500,reference,scalar,4,7e-05,0.0025,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504878069576967,1.96213640615996e-06,6.783607298527228e-05,6.673850469009103e-05,9.516176126119403e-05,1.4770478979388552e-10,9.054556150169902e-09,9.055760806332488e-09,0.00012786322506740805,0.9999998915840488,0.0003071350348588984,1.3328871549995749,2.8477410344711885e-12,1.5434988925141523e-09,True,0.04882459789494595,9,11,-2.3160619057235312e-10,-2.776801975964885e-08,5.485972490419626e-07,6.392926354996007e-05,-3.2791471090126006e-14,1.0747186486712354e-14,6.39296162424586e-05,-5.038465171302752e-07,6.393161734996159e-05,3.4507717885057864e-14,6.393160168665298e-05,0.000349999961359423
