config_label,model,iteration,sector,U,method,degree,n_delta,y0_real,y0_imag,y0_abs,s0_abs,y_fit_rms,B0_0_real,B0_0_imag,Bx0_real,Bx0_imag,Bx0_abs,Bx_fit_rms,By0_real,By0_imag,Bz0_real,Bz0_imag,Bz0_abs,Bz_fit_rms,nilpotent_mismatch0,trace_component_fraction0,beta0,Gamma_PT,F_lambda,soc_lambda,Lambda,z_shift,nkeep,max_tracking_cost,max_residual,max_biorth_error,min_support,median_alignment,median_trace_fraction,ybare_real,ybare_imag,delta_y_real,delta_y_imag,delta_y_abs,Q_real,Q_imag,Q_abs,C_beta0_real,C_beta0_imag,C_beta0_abs,C_beta0_phase,C_gamma_real,C_gamma_imag,C_gamma_abs
reference,scalar,4,-1,0.0,linear_all,1,5,-7.252199335577859e-13,2.92696676846216e-14,7.258103509016165e-13,8.519450398362657e-07,3.2663465827362205e-13,4.588170636508163e-12,2.2343924579759254e-12,8.492747126034352e-10,6.224732235550107e-05,6.224732236129464e-05,1.538652639111881e-10,-2.830094926127034e-13,-4.6653756132650875e-15,6.224732497139084e-05,-8.492077575574872e-10,6.224732497718348e-05,1.5321994883150595e-10,2.1018947834370623e-08,5.797178281034666e-08,0.5,0.1,1.0,0.0,3.0,0.5,320,0.6145781149889772,9.353286798318918e-12,6.46561427094386e-08,1.1136731959135275,0.9999999651649055,0.000172250374672376,-7.252199335577859e-13,2.92696676846216e-14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
reference,scalar,4,-1,0.0025,linear_all,1,5,1.5328893384755305e-11,1.2404571160851134e-11,1.9719238273468237e-11,4.440634895312633e-06,3.692629777590336e-11,-2.135808421573949e-11,-1.9003590884733853e-11,7.728908003165297e-07,6.415341492305401e-05,6.41580704703527e-05,5.315553537962905e-07,-9.935526535462468e-14,1.1938664377951544e-14,6.41534563971816e-05,-7.728599176166782e-07,6.415811156944489e-05,5.315544993249808e-07,4.029829177910173e-07,3.150833407885411e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.08088705627604557,9.625456999159456e-12,3.584177639350222e-09,1.1134704127328223,0.9999999645984827,0.00017550795515691202,-7.252199335577859e-13,2.92696676846216e-14,1.6054113318313092e-11,1.2375301493166513e-11,2.0270240291718476e-11,9.258148343423027e-23,3.8884406827433524e-22,3.997136981728529e-22,5.925214939790737e-17,2.4886020369557454e-16,2.5581676683062586e-16,1.337054210898048,1.481303734947684e-15,6.221505092389363e-15,6.395419170765646e-15
reference,scalar,4,-1,0.005,linear_all,1,5,3.734304361848009e-11,3.9172352051374494e-11,5.4120015446491976e-11,7.356630712934555e-06,6.872661410999597e-11,-5.354506064851121e-11,-5.894785257127408e-11,1.0721538975105714e-06,6.567830989199495e-05,6.568706040194574e-05,3.4504124745441395e-07,-1.4842561673407116e-13,-2.0165797080731669e-13,6.56784039634134e-05,-1.0720580695274372e-06,6.56871528967861e-05,3.450404464005159e-07,1.0221556856993803e-06,8.572655004328416e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.22132638647327238,1.2590236436450674e-11,2.0380439431245014e-09,1.1132614143205877,0.9999999640153966,0.00017879936418280275,-7.252199335577859e-13,2.92696676846216e-14,3.8068263552037874e-11,3.9143082383689875e-11,5.460195590236441e-11,-1.1174177720630858e-22,2.952945254660826e-21,2.9550586968446354e-21,-1.787868435300937e-17,4.724712407457321e-16,4.728093914951417e-16,1.6086190691957198,-4.469671088252342e-16,1.1811781018643303e-14,1.182023478737854e-14
reference,scalar,4,-1,0.0075,linear_all,1,5,4.3314358211034504e-11,4.446889657988208e-11,6.207750309303734e-11,7.878927788286763e-06,7.167628046896921e-12,-6.308438274864683e-11,-6.867271706152071e-11,1.053595914093585e-06,6.68846089480788e-05,6.689290678754824e-05,1.7876142624392064e-07,3.394329597102205e-14,-1.1140270399500967e-14,6.688471576828671e-05,-1.0534892441726438e-06,6.689301191448991e-05,1.7876134154062006e-07,1.1283725275207834e-06,9.857207649677784e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.18813318531254924,1.4777579003131093e-11,1.2198727539110552e-08,1.1130604431872897,0.9999999633988917,0.00018221475013976054,-7.252199335577859e-13,2.92696676846216e-14,4.403957814459229e-11,4.443962691219746e-11,6.256488538508606e-11,-6.863510998933647e-23,3.8832653647731595e-21,3.883871866008207e-21,-4.8807189325750374e-18,2.761433148283136e-16,2.7618644380502803e-16,1.588469073281408,-1.2201797331437592e-16,6.903582870707839e-15,6.9046610951257005e-15
reference,scalar,4,-1,0.01,linear_all,1,5,4.204130381597556e-11,4.374819680609505e-11,6.067434342728388e-11,7.789373750647987e-06,6.924240915517121e-12,-6.017832603467948e-11,-6.713207741397473e-11,1.0164173471906341e-06,6.81173597417507e-05,6.812494258647671e-05,1.7242694269197447e-07,5.804184237516799e-14,1.1273552211559923e-14,6.811746194977415e-05,-1.0163143954749055e-06,6.812504324717437e-05,1.7242709275153504e-07,1.0647398973162638e-06,9.35781165386166e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.18866423307747798,9.453456101857366e-12,8.404946688213433e-10,1.112841804407631,0.9999999627484379,0.00018575013965986529,-7.252199335577859e-13,2.92696676846216e-14,4.2766523749533344e-11,4.371892713841043e-11,6.115815680473896e-11,-1.1466381049524394e-22,3.708958996041535e-21,3.710731009350411e-21,-4.5865524198097575e-18,1.4835835984166138e-16,1.4842924037401643e-16,1.6017018453528917,-1.1466381049524392e-16,3.708958996041534e-15,3.71073100935041e-15
reference,scalar,4,-1,0.015,linear_all,1,5,3.901250595885055e-11,4.211329609440174e-11,5.740649204684173e-11,7.57670720345202e-06,6.355079722578088e-12,-5.337531743970914e-11,-6.378289358532335e-11,9.398422286016784e-07,7.070983372756594e-05,7.071607942465903e-05,1.5937477909745943e-07,2.4574873925385026e-13,5.3642547851016505e-15,7.07099260032197e-05,-9.397469277894052e-07,7.071617042564661e-05,1.5937552689899462e-07,9.379320452276458e-07,8.316319194932098e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.21903574797326694,1.8219938440048353e-11,1.076958061494345e-09,1.112384647943344,0.9999999613388428,0.00019318985147291637,-7.252199335577859e-13,2.92696676846216e-14,3.9737725892408336e-11,4.208402642671712e-11,5.7880498783137705e-11,-2.2202879758421575e-22,3.3152899483698926e-21,3.3227163930614267e-21,-3.947178623719391e-18,5.893848797102031e-17,5.907051365442536e-17,1.6376676256498472,-9.867946559298478e-17,1.4734621992755079e-15,1.4767628413606342e-15
reference,scalar,4,-1,0.02,linear_all,1,5,3.510405695730906e-11,4.0134798160387146e-11,5.3320698028411204e-11,7.302102301968331e-06,5.669737435569925e-12,-4.482755037658439e-11,-5.995455641611829e-11,8.591800306147688e-07,7.347205628281599e-05,7.347707972388593e-05,1.4559759902994177e-07,-4.042337515185927e-14,5.3805276050928246e-14,7.347213732987052e-05,-8.590927782327844e-07,7.347715974519541e-05,1.455991732002162e-07,8.103647575679886e-07,7.204173992885948e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.22046534921065217,1.2783914513972628e-11,1.209184435188047e-09,1.111899363773612,0.999999959772101,0.00020113626896080174,-7.252199335577859e-13,2.92696676846216e-14,3.582927689086685e-11,4.010552849270253e-11,5.377908978591381e-11,-3.5187431445408436e-22,2.8458675527583753e-21,2.8675386067175232e-21,-3.518743144540844e-18,2.8458675527583754e-17,2.867538606717524e-17,1.693815914698823,-8.796857861352107e-17,7.114668881895937e-16,7.168846516793807e-16
reference,scalar,4,-1,0.03,linear_all,1,5,2.2347745312148145e-11,3.437080625133348e-11,4.0997244333044434e-11,6.402909052379585e-06,4.4611155141406575e-12,-1.862641857187178e-11,-4.974111709590507e-11,6.778394199688923e-07,7.948692527318125e-05,7.948981542099318e-05,1.1452925491365545e-07,-1.448834008724829e-14,1.566080081232127e-13,7.948697629708174e-05,-6.777706282985164e-07,7.948986585645631e-05,1.1453375541064524e-07,5.387411093847322e-07,4.7248097412188025e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.2862498178042414,8.399461246341503e-12,4.64431637992146e-09,1.110835423309953,0.9999999561031406,0.000218617766645665,-7.252199335577859e-13,2.92696676846216e-14,2.3072965245705933e-11,3.434153658364886e-11,4.137273087621419e-11,-6.647175493825937e-22,1.5604923313031124e-21,1.6961679564574446e-21,-2.9543002194781943e-18,6.9355214724582774e-18,7.538524250921976e-18,1.9734853738338671,-7.385750548695485e-17,1.7338803681145694e-16,1.884631062730494e-16
reference,scalar,4,-1,0.05,linear_all,1,5,-1.2351310876212767e-10,-1.1150448037089246e-10,1.6639933046400133e-10,1.2899586445464108e-05,6.756766487520622e-11,2.3038306423694888e-10,1.8073045477232057e-10,1.3955377399942045e-07,9.181946898097205e-05,9.181957503279748e-05,8.453996851846474e-08,-7.102125239843819e-15,8.959074461798503e-14,9.181926961931701e-05,-1.3974642523027273e-07,9.181937596438018e-05,8.465306365449172e-08,1.5096774266752737e-06,2.2549741271556494e-06,0.5,0.1,1.0,0.0,3.0,0.5,320,1.0475770563712907,1.0744045705745116e-11,2.6494094373491432e-09,1.1082428582820545,0.9999999461053708,0.0002603637027224021,-7.252199335577859e-13,2.92696676846216e-14,-1.2278788882856988e-10,-1.1153375003857709e-10,1.6588141258334228e-10,2.729401025686649e-21,2.7467279938831333e-20,2.760255599029093e-20,4.367041641098637e-18,4.3947647902130126e-17,4.4164089584465474e-17,1.4717522896066155,1.0917604102746592e-16,1.098691197553253e-15,1.1041022396116368e-15
reference,scalar,4,-1,0.075,linear_all,1,5,1.308550378983825e-11,5.711660792598641e-11,5.85963933224966e-11,7.654828105352635e-06,4.1101833539632046e-11,5.2923339662399234e-11,-1.2222043919281417e-10,1.2483824275714523e-06,0.00012034827485264061,0.00012035474946462311,2.593622738003018e-07,-1.3224315120033154e-15,3.0701960606835024e-14,0.00012034830823428537,-1.2483072527268322e-06,0.00012035478206474294,2.59385943747514e-07,3.417115019820806e-07,7.824972069780165e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.7719229738977984,9.375462970985608e-12,1.917323851048409e-09,1.1038290319789958,0.9999999264203665,0.000327351903044108,-7.252199335577859e-13,2.92696676846216e-14,1.3810723723396036e-11,5.708733825830179e-11,5.873414917389833e-11,-3.0799148392146796e-21,1.5358382732141168e-21,3.441609306455935e-21,-2.19016166344155e-18,1.0921516609522608e-18,2.447366617924221e-18,2.679015554607248,-5.475404158603875e-17,2.730379152380652e-17,6.118416544810553e-17
reference,scalar,4,-1,0.1,linear_all,1,5,-3.081169340871988e-11,-5.043858387677482e-12,3.122180260888049e-11,5.587647323237258e-06,1.2750500470404756e-10,2.700209652059274e-10,-4.107465662512281e-11,1.1990197285699213e-06,0.0001499426061660241,0.00014994740008472608,9.40767430532301e-07,-1.392431369289537e-13,-1.0864378862881724e-13,0.00014994260308666022,-1.1990257000198855e-06,0.00014994739705321007,9.407675164757736e-07,2.2403465210614413e-08,1.2879854761400163e-06,0.5,0.1,1.0,0.0,3.0,0.5,320,0.5471926861999484,1.1810670153819649e-11,5.425617795380871e-09,1.0976418171784674,0.9999998956185006,0.0004108077373491111,-7.252199335577859e-13,2.92696676846216e-14,-3.00864734751621e-11,-5.073128055362103e-12,3.051118670975835e-11,9.014270569724775e-22,3.080635778583249e-22,9.52614248814773e-22,3.6057082278899095e-19,1.2322543114332994e-19,3.810456995259092e-19,0.32930720717308204,9.014270569724773e-18,3.0806357785832477e-18,9.526142488147728e-18
reference,scalar,4,-1,0.0,linear_drop_largest,1,4,-4.184848135350753e-13,2.8012484906886342e-14,4.1942131380050927e-13,6.476274498509998e-07,1.5124992174839016e-13,3.4132607832260305e-12,2.0167081096350316e-12,9.271390901135939e-10,6.224739076518857e-05,6.224739077209318e-05,1.303000207420649e-10,-3.5604653516392765e-13,1.4719128238576023e-14,6.224739234534259e-05,-9.270729415427047e-10,6.224739235224621e-05,1.2998225390081468e-10,1.2703648542406454e-08,4.503550504331065e-08,0.5,0.1,1.0,0.0,3.0,0.5,320,0.6145781149889772,9.353286798318918e-12,6.46561427094386e-08,1.1136731959135275,0.9999999651649055,0.000172250374672376,-4.184848135350753e-13,2.8012484906886342e-14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
reference,scalar,4,-1,0.0025,linear_drop_largest,1,4,6.262951928902473e-12,3.0879951337498303e-12,6.982856207155195e-12,2.6425094526141617e-06,3.8807176248949374e-11,-8.075948143868926e-12,-4.50546309687742e-12,8.080246733765705e-07,6.418604582896565e-05,6.419113165407558e-05,5.920211068922061e-07,-1.0481319407592653e-13,2.5604697337454456e-14,6.418606305328937e-05,-8.080169863192989e-07,6.419114878027202e-05,5.920200998454042e-07,1.469191691035266e-07,1.0186948342729565e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.08088705627604557,9.625456999159456e-12,3.584177639350222e-09,1.1134704127328223,0.9999999645984827,0.00017550795515691202,-4.184848135350753e-13,2.8012484906886342e-14,6.6814367424375485e-12,3.059982648842944e-12,7.348815602150754e-12,3.2396305604903176e-23,3.979676838008348e-23,5.131572264271734e-23,2.073363558713803e-17,2.5469931763253425e-17,3.2842062491339095e-17,0.887550666894607,5.183408896784507e-16,6.367482940813355e-16,8.210515622834773e-16
reference,scalar,4,-1,0.005,linear_drop_largest,1,4,7.848261183042396e-11,8.363773562067402e-11,1.1469433804455548e-10,1.070954425008625e-05,3.993726450415236e-11,-1.1756154569434718e-10,-1.2801460331536561e-10,1.3089716706385915e-06,6.593165899949365e-05,6.594465152883929e-05,8.710528828349484e-08,-1.7818947408093996e-13,-2.1871504975242111e-13,6.593185072197087e-05,-1.3087670237579481e-06,6.594483915172382e-05,8.711506882278546e-08,2.1262074501142476e-06,1.8636702331517321e-06,0.5,0.1,1.0,0.0,3.0,0.5,320,0.22132638647327238,1.2590236436450674e-11,2.0380439431245014e-09,1.1132614143205877,0.9999999640153966,0.00017879936418280275,-4.184848135350753e-13,2.8012484906886342e-14,7.890109664395904e-11,8.360972313576713e-11,1.1496072744402323e-10,-8.005637780444392e-22,1.3161018507402325e-20,1.3185344535312807e-20,-1.2809020448711026e-16,2.105762961184372e-15,2.109655125650049e-15,1.6315498753545319,-3.202255112177756e-15,5.264407402960929e-14,5.274137814125122e-14
reference,scalar,4,-1,0.0075,linear_drop_largest,1,4,3.975075204032516e-11,4.011425506336225e-11,5.647367304381661e-11,7.514896742059508e-06,5.1998226319448564e-12,-5.859015848395854e-11,-6.194538446593187e-11,1.138314015329976e-06,6.696948519311719e-05,6.697915874231805e-05,1.5184531468504191e-07,2.071927292278744e-14,-5.5789727926812975e-15,6.696958145437615e-05,-1.1382177821394685e-06,6.697925335425814e-05,1.518452821719645e-07,1.0160924564271662e-06,9.001467697029118e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.18813318531254924,1.4777579003131093e-11,1.2198727539110552e-08,1.1130604431872897,0.9999999633988917,0.00018221475013976054,-4.184848135350753e-13,2.8012484906886342e-14,4.016923685386023e-11,4.0086242578455367e-11,5.6749224078222343e-11,-1.1272385497081537e-23,3.2048173018208645e-21,3.204837126083814e-21,-8.015918575702427e-19,2.278981192405948e-16,2.2789952896596014e-16,1.574313637752151,-2.0039796439256064e-17,5.69745298101487e-15,5.697488224149003e-15
reference,scalar,4,-1,0.01,linear_drop_largest,1,4,3.873799118482717e-11,3.945908235506119e-11,5.5296031876973314e-11,7.436130168103119e-06,5.051235667365515e-12,-5.6366900115916796e-11,-6.054591809044878e-11,1.0981173595223818e-06,6.819924462683477e-05,6.820808478036996e-05,1.4646446437816598e-07,9.128187549547972e-14,8.719447976849605e-15,6.81993369812945e-05,-1.0980244909226768e-06,6.820817562778548e-05,1.4646454864628954e-07,9.600980523800743e-07,8.57577263620105e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.18866423307747798,9.453456101857366e-12,8.404946688213433e-10,1.112841804407631,0.9999999627484379,0.00018575013965986529,-4.184848135350753e-13,2.8012484906886342e-14,3.9156475998362245e-11,3.94310698701543e-11,5.5570125820581956e-11,-3.907061130113702e-23,3.0725590481916943e-21,3.072807448782317e-21,-1.5628244520454807e-18,1.2290236192766776e-16,1.229122979512927e-16,1.5835116253572972,-3.9070611301137015e-17,3.072559048191694e-15,3.072807448782317e-15
reference,scalar,4,-1,0.015,linear_drop_largest,1,4,3.636069874019962e-11,3.797301196416807e-11,5.257423371297394e-11,7.250809176428099e-06,4.700699397754386e-12,-5.1241290112301656e-11,-5.750213686941656e-11,1.015314058550618e-06,7.078556811334992e-05,7.079284932651879e-05,1.3537475744001212e-07,3.2856497696548994e-13,-1.034172775849231e-14,7.078565215443608e-05,-1.0152281143421856e-06,7.079293212639926e-05,1.3537514143162148e-07,8.489926473788721e-07,7.693110795715141e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.21903574797326694,1.8219938440048353e-11,1.076958061494345e-09,1.112384647943344,0.9999999613388428,0.00019318985147291637,-4.184848135350753e-13,2.8012484906886342e-14,3.677918355373469e-11,3.794499947926118e-11,5.284440678407167e-11,-1.0356910609848432e-22,2.7763230718807483e-21,2.7782541926892498e-21,-1.8412285528619435e-18,4.9356854611213306e-17,4.9391185647808886e-17,1.608083451012681,-4.603071382154859e-17,1.2339213652803325e-15,1.2347796411952219e-15
reference,scalar,4,-1,0.02,linear_drop_largest,1,4,3.334474265877566e-11,3.6178828033017166e-11,4.920141726436955e-11,7.014372193173781e-06,4.262692911956793e-12,-4.491681684570105e-11,-5.4026753298213396e-11,9.28051600520887e-07,7.354133153354125e-05,7.354718705361517e-05,1.2366437099361275e-07,-3.0133365375783914e-14,5.729776555141674e-14,7.354140635044798e-05,-9.279729317167837e-07,7.354726087192989e-05,1.2366517194655297e-07,7.380629268680609e-07,6.75498441339765e-07,0.5,0.1,1.0,0.0,3.0,0.5,320,0.22046534921065217,1.2783914513972628e-11,1.209184435188047e-09,1.111899363773612,0.999999959772101,0.00020113626896080174,-4.184848135350753e-13,2.8012484906886342e-14,3.3763227472310737e-11,3.615081554811028e-11,4.9465513179795176e-11,-1.8206800757449867e-22,2.4269536419169746e-21,2.433773354155274e-21,-1.8206800757449866e-18,2.4269536419169743e-17,2.433773354155274e-17,1.645675220750115,-4.551700189362466e-17,6.067384104792435e-16,6.084433385388185e-16
